huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
Epoch[1] Iteration[1/1608], loss: 4.1897, nitc_loss: 2.8246, ritc_loss: 1.3651, Base Lr: 1.00e-06
Epoch[1] Iteration[2/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.03e-06
Epoch[1] Iteration[3/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.06e-06
Epoch[1] Iteration[4/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.09e-06
Epoch[1] Iteration[5/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.12e-06
Epoch[1] Iteration[6/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.15e-06
Epoch[1] Iteration[7/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.18e-06
Epoch[1] Iteration[8/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.22e-06
Epoch[1] Iteration[9/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.25e-06
Epoch[1] Iteration[10/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.28e-06
Epoch[1] Iteration[11/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.31e-06
Epoch[1] Iteration[12/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.34e-06
Epoch[1] Iteration[13/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.37e-06
Epoch[1] Iteration[14/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.40e-06
Epoch[1] Iteration[15/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.43e-06
Epoch[1] Iteration[16/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.46e-06
Epoch[1] Iteration[17/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.49e-06
Epoch[1] Iteration[18/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.52e-06
Epoch[1] Iteration[19/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.55e-06
Epoch[1] Iteration[20/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.59e-06
Epoch[1] Iteration[21/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.62e-06
Epoch[1] Iteration[22/1608], loss: nan, nitc_loss: nan, ritc_loss: nan, Base Lr: 1.65e-06
