Epoch[1] Iteration[1/1608], loss: 4.1292, nitc_loss: 2.7737, ritc_loss: 1.3555, Base Lr: 1.00e-06
Epoch[1] Iteration[2/1608], loss: 4.2285, nitc_loss: 2.8607, ritc_loss: 1.3678, Base Lr: 1.03e-06
Epoch[1] Iteration[3/1608], loss: 4.1111, nitc_loss: 2.7719, ritc_loss: 1.3392, Base Lr: 1.06e-06
Epoch[1] Iteration[4/1608], loss: 4.1551, nitc_loss: 2.7966, ritc_loss: 1.3585, Base Lr: 1.09e-06
Epoch[1] Iteration[5/1608], loss: 4.2091, nitc_loss: 2.8341, ritc_loss: 1.3750, Base Lr: 1.12e-06
Epoch[1] Iteration[6/1608], loss: 4.2312, nitc_loss: 2.8619, ritc_loss: 1.3694, Base Lr: 1.15e-06
Epoch[1] Iteration[7/1608], loss: 4.0532, nitc_loss: 2.7149, ritc_loss: 1.3383, Base Lr: 1.18e-06
Epoch[1] Iteration[8/1608], loss: 4.0863, nitc_loss: 2.7447, ritc_loss: 1.3416, Base Lr: 1.22e-06
Epoch[1] Iteration[9/1608], loss: 4.0968, nitc_loss: 2.7494, ritc_loss: 1.3475, Base Lr: 1.25e-06
Epoch[1] Iteration[10/1608], loss: 4.0441, nitc_loss: 2.7136, ritc_loss: 1.3305, Base Lr: 1.28e-06
Epoch[1] Iteration[11/1608], loss: 4.1308, nitc_loss: 2.7835, ritc_loss: 1.3473, Base Lr: 1.31e-06
Epoch[1] Iteration[12/1608], loss: 4.2044, nitc_loss: 2.8337, ritc_loss: 1.3707, Base Lr: 1.34e-06
Epoch[1] Iteration[13/1608], loss: 3.9862, nitc_loss: 2.6574, ritc_loss: 1.3288, Base Lr: 1.37e-06
Epoch[1] Iteration[14/1608], loss: 4.0839, nitc_loss: 2.7320, ritc_loss: 1.3519, Base Lr: 1.40e-06
Epoch[1] Iteration[15/1608], loss: 4.0722, nitc_loss: 2.7252, ritc_loss: 1.3470, Base Lr: 1.43e-06
Epoch[1] Iteration[16/1608], loss: 3.9690, nitc_loss: 2.6481, ritc_loss: 1.3208, Base Lr: 1.46e-06
Epoch[1] Iteration[17/1608], loss: 4.0255, nitc_loss: 2.6930, ritc_loss: 1.3325, Base Lr: 1.49e-06
Epoch[1] Iteration[18/1608], loss: 3.9898, nitc_loss: 2.6598, ritc_loss: 1.3300, Base Lr: 1.52e-06
Epoch[1] Iteration[19/1608], loss: 4.0398, nitc_loss: 2.6994, ritc_loss: 1.3405, Base Lr: 1.55e-06
Epoch[1] Iteration[20/1608], loss: 4.1281, nitc_loss: 2.7767, ritc_loss: 1.3514, Base Lr: 1.59e-06
Epoch[1] Iteration[21/1608], loss: 3.9397, nitc_loss: 2.6080, ritc_loss: 1.3317, Base Lr: 1.62e-06
Epoch[1] Iteration[22/1608], loss: 3.7416, nitc_loss: 2.4594, ritc_loss: 1.2822, Base Lr: 1.65e-06
Epoch[1] Iteration[23/1608], loss: 3.8770, nitc_loss: 2.5655, ritc_loss: 1.3115, Base Lr: 1.68e-06
Epoch[1] Iteration[24/1608], loss: 4.0471, nitc_loss: 2.6868, ritc_loss: 1.3603, Base Lr: 1.71e-06
Epoch[1] Iteration[25/1608], loss: 3.9988, nitc_loss: 2.6598, ritc_loss: 1.3390, Base Lr: 1.74e-06
Epoch[1] Iteration[26/1608], loss: 3.9172, nitc_loss: 2.5844, ritc_loss: 1.3327, Base Lr: 1.77e-06
Epoch[1] Iteration[27/1608], loss: 3.9851, nitc_loss: 2.6489, ritc_loss: 1.3362, Base Lr: 1.80e-06
Epoch[1] Iteration[28/1608], loss: 3.8780, nitc_loss: 2.5450, ritc_loss: 1.3330, Base Lr: 1.83e-06
Epoch[1] Iteration[29/1608], loss: 3.8858, nitc_loss: 2.5677, ritc_loss: 1.3181, Base Lr: 1.86e-06
Epoch[1] Iteration[30/1608], loss: 3.6334, nitc_loss: 2.3693, ritc_loss: 1.2640, Base Lr: 1.89e-06
Epoch[1] Iteration[31/1608], loss: 3.8124, nitc_loss: 2.5114, ritc_loss: 1.3010, Base Lr: 1.92e-06
Epoch[1] Iteration[32/1608], loss: 3.7114, nitc_loss: 2.4187, ritc_loss: 1.2928, Base Lr: 1.95e-06
Epoch[1] Iteration[33/1608], loss: 3.6905, nitc_loss: 2.3935, ritc_loss: 1.2970, Base Lr: 1.99e-06
