huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
Epoch[1] Iteration[1/321], loss: 4.3719, nitc_loss: 4.3942, ritc_loss: -0.0223, Base Lr: 1.00e-06
Epoch[1] Iteration[2/321], loss: 4.4027, nitc_loss: 4.4248, ritc_loss: -0.0221, Base Lr: 1.15e-06
Epoch[1] Iteration[3/321], loss: 4.3968, nitc_loss: 4.4176, ritc_loss: -0.0208, Base Lr: 1.31e-06
Epoch[1] Iteration[4/321], loss: 4.3737, nitc_loss: 4.3955, ritc_loss: -0.0218, Base Lr: 1.46e-06
Epoch[1] Iteration[5/321], loss: 4.3050, nitc_loss: 4.3208, ritc_loss: -0.0158, Base Lr: 1.62e-06
Epoch[1] Iteration[6/321], loss: 4.2880, nitc_loss: 4.3053, ritc_loss: -0.0173, Base Lr: 1.77e-06
Epoch[1] Iteration[7/321], loss: 4.2387, nitc_loss: 4.2583, ritc_loss: -0.0195, Base Lr: 1.93e-06
Epoch[1] Iteration[8/321], loss: 4.2564, nitc_loss: 4.2692, ritc_loss: -0.0128, Base Lr: 2.08e-06
Epoch[1] Iteration[9/321], loss: 4.2625, nitc_loss: 4.2767, ritc_loss: -0.0143, Base Lr: 2.24e-06
Epoch[1] Iteration[10/321], loss: 4.2598, nitc_loss: 4.2661, ritc_loss: -0.0063, Base Lr: 2.39e-06
Epoch[1] Iteration[11/321], loss: 4.2607, nitc_loss: 4.2725, ritc_loss: -0.0118, Base Lr: 2.54e-06
Epoch[1] Iteration[12/321], loss: 4.1712, nitc_loss: 4.1760, ritc_loss: -0.0049, Base Lr: 2.70e-06
Epoch[1] Iteration[13/321], loss: 4.1922, nitc_loss: 4.1939, ritc_loss: -0.0017, Base Lr: 2.85e-06
Epoch[1] Iteration[14/321], loss: 4.1793, nitc_loss: 4.1739, ritc_loss: 0.0054, Base Lr: 3.01e-06
Epoch[1] Iteration[15/321], loss: 4.2273, nitc_loss: 4.2187, ritc_loss: 0.0087, Base Lr: 3.16e-06
Epoch[1] Iteration[16/321], loss: 4.1827, nitc_loss: 4.1693, ritc_loss: 0.0134, Base Lr: 3.32e-06
