Epoch[1] Iteration[1/321], loss: 4.3719, nitc_loss: 4.3942, ritc_loss: -0.0223, Base Lr: 1.00e-06
Epoch[1] Iteration[2/321], loss: 4.4027, nitc_loss: 4.4248, ritc_loss: -0.0221, Base Lr: 1.15e-06
Epoch[1] Iteration[3/321], loss: 4.3970, nitc_loss: 4.4180, ritc_loss: -0.0210, Base Lr: 1.31e-06
Epoch[1] Iteration[4/321], loss: 4.3744, nitc_loss: 4.3964, ritc_loss: -0.0220, Base Lr: 1.46e-06
Epoch[1] Iteration[5/321], loss: 4.3113, nitc_loss: 4.3278, ritc_loss: -0.0165, Base Lr: 1.62e-06
Epoch[1] Iteration[6/321], loss: 4.2937, nitc_loss: 4.3120, ritc_loss: -0.0183, Base Lr: 1.77e-06
Epoch[1] Iteration[7/321], loss: 4.2560, nitc_loss: 4.2778, ritc_loss: -0.0218, Base Lr: 1.93e-06
Epoch[1] Iteration[8/321], loss: 4.2712, nitc_loss: 4.2859, ritc_loss: -0.0147, Base Lr: 2.08e-06
Epoch[1] Iteration[9/321], loss: 4.2744, nitc_loss: 4.2904, ritc_loss: -0.0160, Base Lr: 2.24e-06
Epoch[1] Iteration[10/321], loss: 4.2711, nitc_loss: 4.2804, ritc_loss: -0.0094, Base Lr: 2.39e-06
Epoch[1] Iteration[11/321], loss: 4.2788, nitc_loss: 4.2938, ritc_loss: -0.0151, Base Lr: 2.54e-06
Epoch[1] Iteration[12/321], loss: 4.1970, nitc_loss: 4.2046, ritc_loss: -0.0075, Base Lr: 2.70e-06
Epoch[1] Iteration[13/321], loss: 4.2130, nitc_loss: 4.2203, ritc_loss: -0.0073, Base Lr: 2.85e-06
Epoch[1] Iteration[14/321], loss: 4.1975, nitc_loss: 4.1991, ritc_loss: -0.0016, Base Lr: 3.01e-06
Epoch[1] Iteration[15/321], loss: 4.2471, nitc_loss: 4.2449, ritc_loss: 0.0022, Base Lr: 3.16e-06
Epoch[1] Iteration[16/321], loss: 4.2014, nitc_loss: 4.1963, ritc_loss: 0.0050, Base Lr: 3.32e-06
Epoch[1] Iteration[17/321], loss: 4.1062, nitc_loss: 4.0946, ritc_loss: 0.0115, Base Lr: 3.47e-06
Epoch[1] Iteration[18/321], loss: 4.1001, nitc_loss: 4.0817, ritc_loss: 0.0184, Base Lr: 3.63e-06
Epoch[1] Iteration[19/321], loss: 4.1055, nitc_loss: 4.0824, ritc_loss: 0.0232, Base Lr: 3.78e-06
Epoch[1] Iteration[20/321], loss: 3.9484, nitc_loss: 3.9202, ritc_loss: 0.0282, Base Lr: 3.93e-06
Epoch[1] Iteration[21/321], loss: 4.0671, nitc_loss: 4.0379, ritc_loss: 0.0292, Base Lr: 4.09e-06
Epoch[1] Iteration[22/321], loss: 4.0578, nitc_loss: 4.0155, ritc_loss: 0.0424, Base Lr: 4.24e-06
Epoch[1] Iteration[23/321], loss: 4.0272, nitc_loss: 3.9757, ritc_loss: 0.0515, Base Lr: 4.40e-06
Epoch[1] Iteration[24/321], loss: 4.1506, nitc_loss: 4.0921, ritc_loss: 0.0585, Base Lr: 4.55e-06
Epoch[1] Iteration[25/321], loss: 4.0311, nitc_loss: 3.9758, ritc_loss: 0.0552, Base Lr: 4.71e-06
Epoch[1] Iteration[26/321], loss: 3.9756, nitc_loss: 3.9174, ritc_loss: 0.0582, Base Lr: 4.86e-06
Epoch[1] Iteration[27/321], loss: 3.9499, nitc_loss: 3.8628, ritc_loss: 0.0871, Base Lr: 5.02e-06
Epoch[1] Iteration[28/321], loss: 3.8916, nitc_loss: 3.8098, ritc_loss: 0.0818, Base Lr: 5.17e-06
Epoch[1] Iteration[29/321], loss: 3.9234, nitc_loss: 3.8460, ritc_loss: 0.0774, Base Lr: 5.32e-06
Epoch[1] Iteration[30/321], loss: 3.9315, nitc_loss: 3.8213, ritc_loss: 0.1102, Base Lr: 5.48e-06
Epoch[1] Iteration[31/321], loss: 3.9567, nitc_loss: 3.8579, ritc_loss: 0.0988, Base Lr: 5.63e-06
Epoch[1] Iteration[32/321], loss: 3.9498, nitc_loss: 3.8271, ritc_loss: 0.1227, Base Lr: 5.79e-06
Epoch[1] Iteration[33/321], loss: 3.8905, nitc_loss: 3.7882, ritc_loss: 0.1023, Base Lr: 5.94e-06
Epoch[1] Iteration[34/321], loss: 3.9365, nitc_loss: 3.8271, ritc_loss: 0.1094, Base Lr: 6.10e-06
Epoch[1] Iteration[35/321], loss: 3.9501, nitc_loss: 3.8199, ritc_loss: 0.1301, Base Lr: 6.25e-06
Epoch[1] Iteration[36/321], loss: 3.8253, nitc_loss: 3.7223, ritc_loss: 0.1030, Base Lr: 6.41e-06
Epoch[1] Iteration[37/321], loss: 3.9677, nitc_loss: 3.8547, ritc_loss: 0.1130, Base Lr: 6.56e-06
Epoch[1] Iteration[38/321], loss: 3.7354, nitc_loss: 3.6052, ritc_loss: 0.1302, Base Lr: 6.71e-06
Epoch[1] Iteration[39/321], loss: 3.8191, nitc_loss: 3.7011, ritc_loss: 0.1180, Base Lr: 6.87e-06
Epoch[1] Iteration[40/321], loss: 3.8183, nitc_loss: 3.6853, ritc_loss: 0.1329, Base Lr: 7.02e-06
Epoch[1] Iteration[41/321], loss: 3.8458, nitc_loss: 3.6910, ritc_loss: 0.1547, Base Lr: 7.18e-06
Epoch[1] Iteration[42/321], loss: 3.7592, nitc_loss: 3.5863, ritc_loss: 0.1729, Base Lr: 7.33e-06
Epoch[1] Iteration[43/321], loss: 3.7373, nitc_loss: 3.6090, ritc_loss: 0.1283, Base Lr: 7.49e-06
Epoch[1] Iteration[44/321], loss: 3.8242, nitc_loss: 3.6784, ritc_loss: 0.1458, Base Lr: 7.64e-06
Epoch[1] Iteration[45/321], loss: 3.8568, nitc_loss: 3.7199, ritc_loss: 0.1370, Base Lr: 7.80e-06
Epoch[1] Iteration[46/321], loss: 3.8762, nitc_loss: 3.7123, ritc_loss: 0.1640, Base Lr: 7.95e-06
Epoch[1] Iteration[47/321], loss: 3.7485, nitc_loss: 3.5953, ritc_loss: 0.1532, Base Lr: 8.10e-06
Epoch[1] Iteration[48/321], loss: 3.7167, nitc_loss: 3.5772, ritc_loss: 0.1395, Base Lr: 8.26e-06
Epoch[1] Iteration[49/321], loss: 3.7888, nitc_loss: 3.6169, ritc_loss: 0.1719, Base Lr: 8.41e-06
Epoch[1] Iteration[50/321], loss: 3.7882, nitc_loss: 3.6213, ritc_loss: 0.1669, Base Lr: 8.57e-06
Epoch[1] Iteration[51/321], loss: 3.7533, nitc_loss: 3.5905, ritc_loss: 0.1628, Base Lr: 8.72e-06
Epoch[1] Iteration[52/321], loss: 3.6108, nitc_loss: 3.4556, ritc_loss: 0.1552, Base Lr: 8.88e-06
Epoch[1] Iteration[53/321], loss: 3.7047, nitc_loss: 3.5581, ritc_loss: 0.1466, Base Lr: 9.03e-06
Epoch[1] Iteration[54/321], loss: 3.7085, nitc_loss: 3.5453, ritc_loss: 0.1632, Base Lr: 9.19e-06
Epoch[1] Iteration[55/321], loss: 3.7745, nitc_loss: 3.6027, ritc_loss: 0.1718, Base Lr: 9.34e-06
Epoch[1] Iteration[56/321], loss: 3.7216, nitc_loss: 3.5409, ritc_loss: 0.1807, Base Lr: 9.49e-06
Epoch[1] Iteration[57/321], loss: 3.7601, nitc_loss: 3.5715, ritc_loss: 0.1886, Base Lr: 9.65e-06
Epoch[1] Iteration[58/321], loss: 3.6738, nitc_loss: 3.5194, ritc_loss: 0.1544, Base Lr: 9.80e-06
Epoch[1] Iteration[59/321], loss: 3.7365, nitc_loss: 3.5850, ritc_loss: 0.1515, Base Lr: 9.96e-06
Epoch[1] Iteration[60/321], loss: 3.6917, nitc_loss: 3.4782, ritc_loss: 0.2135, Base Lr: 1.01e-05
Epoch[1] Iteration[61/321], loss: 3.7123, nitc_loss: 3.5410, ritc_loss: 0.1713, Base Lr: 1.03e-05
Epoch[1] Iteration[62/321], loss: 3.7839, nitc_loss: 3.6236, ritc_loss: 0.1604, Base Lr: 1.04e-05
Epoch[1] Iteration[63/321], loss: 3.6224, nitc_loss: 3.4485, ritc_loss: 0.1739, Base Lr: 1.06e-05
Epoch[1] Iteration[64/321], loss: 3.7357, nitc_loss: 3.5627, ritc_loss: 0.1729, Base Lr: 1.07e-05
Epoch[1] Iteration[65/321], loss: 3.6484, nitc_loss: 3.4925, ritc_loss: 0.1559, Base Lr: 1.09e-05
Epoch[1] Iteration[66/321], loss: 3.6919, nitc_loss: 3.5323, ritc_loss: 0.1596, Base Lr: 1.10e-05
Epoch[1] Iteration[67/321], loss: 3.7056, nitc_loss: 3.5092, ritc_loss: 0.1964, Base Lr: 1.12e-05
Epoch[1] Iteration[68/321], loss: 3.6829, nitc_loss: 3.5061, ritc_loss: 0.1768, Base Lr: 1.13e-05
Epoch[1] Iteration[69/321], loss: 3.7953, nitc_loss: 3.6286, ritc_loss: 0.1667, Base Lr: 1.15e-05
Epoch[1] Iteration[70/321], loss: 3.7754, nitc_loss: 3.5972, ritc_loss: 0.1782, Base Lr: 1.17e-05
Epoch[1] Iteration[71/321], loss: 3.7680, nitc_loss: 3.6021, ritc_loss: 0.1659, Base Lr: 1.18e-05
Epoch[1] Iteration[72/321], loss: 3.7088, nitc_loss: 3.5168, ritc_loss: 0.1920, Base Lr: 1.20e-05
Epoch[1] Iteration[73/321], loss: 3.7310, nitc_loss: 3.5272, ritc_loss: 0.2038, Base Lr: 1.21e-05
Epoch[1] Iteration[74/321], loss: 3.7302, nitc_loss: 3.5471, ritc_loss: 0.1831, Base Lr: 1.23e-05
Epoch[1] Iteration[75/321], loss: 3.5451, nitc_loss: 3.3733, ritc_loss: 0.1718, Base Lr: 1.24e-05
Epoch[1] Iteration[76/321], loss: 3.6865, nitc_loss: 3.4719, ritc_loss: 0.2146, Base Lr: 1.26e-05
Epoch[1] Iteration[77/321], loss: 3.7600, nitc_loss: 3.5927, ritc_loss: 0.1673, Base Lr: 1.27e-05
Epoch[1] Iteration[78/321], loss: 3.6595, nitc_loss: 3.4803, ritc_loss: 0.1792, Base Lr: 1.29e-05
Epoch[1] Iteration[79/321], loss: 3.6082, nitc_loss: 3.4044, ritc_loss: 0.2038, Base Lr: 1.30e-05
Epoch[1] Iteration[80/321], loss: 3.6825, nitc_loss: 3.5529, ritc_loss: 0.1297, Base Lr: 1.32e-05
Epoch[1] Iteration[81/321], loss: 3.5545, nitc_loss: 3.3551, ritc_loss: 0.1994, Base Lr: 1.34e-05
Epoch[1] Iteration[82/321], loss: 3.6970, nitc_loss: 3.5220, ritc_loss: 0.1750, Base Lr: 1.35e-05
Epoch[1] Iteration[83/321], loss: 3.6455, nitc_loss: 3.4435, ritc_loss: 0.2020, Base Lr: 1.37e-05
