Epoch[1] Iteration[1/214], loss: 4.3910, nitc_loss: 4.7998, ritc_loss: -0.4089, Base Lr: 1.00e-06
Epoch[1] Iteration[2/214], loss: 4.4102, nitc_loss: 4.8171, ritc_loss: -0.4069, Base Lr: 1.23e-06
Epoch[1] Iteration[3/214], loss: 4.3565, nitc_loss: 4.7624, ritc_loss: -0.4059, Base Lr: 1.46e-06
Epoch[1] Iteration[4/214], loss: 4.3882, nitc_loss: 4.7904, ritc_loss: -0.4022, Base Lr: 1.70e-06
Epoch[1] Iteration[5/214], loss: 4.3181, nitc_loss: 4.7236, ritc_loss: -0.4055, Base Lr: 1.93e-06
Epoch[1] Iteration[6/214], loss: 4.3338, nitc_loss: 4.7357, ritc_loss: -0.4020, Base Lr: 2.16e-06
Epoch[1] Iteration[7/214], loss: 4.3125, nitc_loss: 4.7138, ritc_loss: -0.4013, Base Lr: 2.39e-06
Epoch[1] Iteration[8/214], loss: 4.2881, nitc_loss: 4.6868, ritc_loss: -0.3986, Base Lr: 2.62e-06
Epoch[1] Iteration[9/214], loss: 4.3005, nitc_loss: 4.6959, ritc_loss: -0.3954, Base Lr: 2.85e-06
Epoch[1] Iteration[10/214], loss: 4.2775, nitc_loss: 4.6688, ritc_loss: -0.3913, Base Lr: 3.09e-06
Epoch[1] Iteration[11/214], loss: 4.2663, nitc_loss: 4.6560, ritc_loss: -0.3897, Base Lr: 3.32e-06
Epoch[1] Iteration[12/214], loss: 4.1863, nitc_loss: 4.5681, ritc_loss: -0.3818, Base Lr: 3.55e-06
Epoch[1] Iteration[13/214], loss: 4.1604, nitc_loss: 4.5393, ritc_loss: -0.3788, Base Lr: 3.78e-06
Epoch[1] Iteration[14/214], loss: 4.1181, nitc_loss: 4.4864, ritc_loss: -0.3682, Base Lr: 4.01e-06
Epoch[1] Iteration[15/214], loss: 4.1543, nitc_loss: 4.5162, ritc_loss: -0.3619, Base Lr: 4.25e-06
Epoch[1] Iteration[16/214], loss: 4.1758, nitc_loss: 4.5341, ritc_loss: -0.3583, Base Lr: 4.48e-06
Epoch[1] Iteration[17/214], loss: 4.1154, nitc_loss: 4.4654, ritc_loss: -0.3500, Base Lr: 4.71e-06
Epoch[1] Iteration[18/214], loss: 4.0671, nitc_loss: 4.4010, ritc_loss: -0.3339, Base Lr: 4.94e-06
Epoch[1] Iteration[19/214], loss: 4.0081, nitc_loss: 4.3436, ritc_loss: -0.3355, Base Lr: 5.17e-06
Epoch[1] Iteration[20/214], loss: 4.0079, nitc_loss: 4.3180, ritc_loss: -0.3101, Base Lr: 5.41e-06
Epoch[1] Iteration[21/214], loss: 4.0651, nitc_loss: 4.3755, ritc_loss: -0.3104, Base Lr: 5.64e-06
Epoch[1] Iteration[22/214], loss: 4.0044, nitc_loss: 4.3015, ritc_loss: -0.2971, Base Lr: 5.87e-06
Epoch[1] Iteration[23/214], loss: 4.0258, nitc_loss: 4.3178, ritc_loss: -0.2920, Base Lr: 6.10e-06
Epoch[1] Iteration[24/214], loss: 4.0068, nitc_loss: 4.2911, ritc_loss: -0.2843, Base Lr: 6.33e-06
Epoch[1] Iteration[25/214], loss: 3.9976, nitc_loss: 4.2731, ritc_loss: -0.2755, Base Lr: 6.56e-06
Epoch[1] Iteration[26/214], loss: 3.9147, nitc_loss: 4.1836, ritc_loss: -0.2689, Base Lr: 6.80e-06
Epoch[1] Iteration[27/214], loss: 3.9483, nitc_loss: 4.1833, ritc_loss: -0.2350, Base Lr: 7.03e-06
Epoch[1] Iteration[28/214], loss: 3.9205, nitc_loss: 4.1464, ritc_loss: -0.2260, Base Lr: 7.26e-06
Epoch[1] Iteration[29/214], loss: 3.9122, nitc_loss: 4.1749, ritc_loss: -0.2627, Base Lr: 7.49e-06
Epoch[1] Iteration[30/214], loss: 3.9718, nitc_loss: 4.2181, ritc_loss: -0.2463, Base Lr: 7.72e-06
Epoch[1] Iteration[31/214], loss: 3.9656, nitc_loss: 4.2072, ritc_loss: -0.2417, Base Lr: 7.96e-06
Epoch[1] Iteration[32/214], loss: 3.8690, nitc_loss: 4.0857, ritc_loss: -0.2167, Base Lr: 8.19e-06
Epoch[1] Iteration[33/214], loss: 3.8698, nitc_loss: 4.0889, ritc_loss: -0.2191, Base Lr: 8.42e-06
Epoch[1] Iteration[34/214], loss: 3.8456, nitc_loss: 4.0680, ritc_loss: -0.2225, Base Lr: 8.65e-06
Epoch[1] Iteration[35/214], loss: 3.8065, nitc_loss: 4.0262, ritc_loss: -0.2196, Base Lr: 8.88e-06
Epoch[1] Iteration[36/214], loss: 3.8065, nitc_loss: 4.0527, ritc_loss: -0.2462, Base Lr: 9.11e-06
Epoch[1] Iteration[37/214], loss: 3.8913, nitc_loss: 4.1099, ritc_loss: -0.2186, Base Lr: 9.35e-06
Epoch[1] Iteration[38/214], loss: 3.9248, nitc_loss: 4.1200, ritc_loss: -0.1952, Base Lr: 9.58e-06
Epoch[1] Iteration[39/214], loss: 3.8618, nitc_loss: 4.0703, ritc_loss: -0.2085, Base Lr: 9.81e-06
Epoch[1] Iteration[40/214], loss: 3.7627, nitc_loss: 3.9525, ritc_loss: -0.1898, Base Lr: 1.00e-05
Epoch[1] Iteration[41/214], loss: 3.8695, nitc_loss: 4.0604, ritc_loss: -0.1909, Base Lr: 1.03e-05
Epoch[1] Iteration[42/214], loss: 3.7570, nitc_loss: 3.9537, ritc_loss: -0.1967, Base Lr: 1.05e-05
Epoch[1] Iteration[43/214], loss: 3.8047, nitc_loss: 4.0073, ritc_loss: -0.2026, Base Lr: 1.07e-05
Epoch[1] Iteration[44/214], loss: 3.7849, nitc_loss: 3.9981, ritc_loss: -0.2132, Base Lr: 1.10e-05
Epoch[1] Iteration[45/214], loss: 3.7954, nitc_loss: 3.9798, ritc_loss: -0.1845, Base Lr: 1.12e-05
Epoch[1] Iteration[46/214], loss: 3.9043, nitc_loss: 4.1094, ritc_loss: -0.2052, Base Lr: 1.14e-05
Epoch[1] Iteration[47/214], loss: 3.8611, nitc_loss: 4.0742, ritc_loss: -0.2131, Base Lr: 1.17e-05
Epoch[1] Iteration[48/214], loss: 3.8534, nitc_loss: 4.0507, ritc_loss: -0.1973, Base Lr: 1.19e-05
Epoch[1] Iteration[49/214], loss: 3.8525, nitc_loss: 4.0598, ritc_loss: -0.2073, Base Lr: 1.21e-05
Epoch[1] Iteration[50/214], loss: 3.7045, nitc_loss: 3.8914, ritc_loss: -0.1869, Base Lr: 1.24e-05
Epoch[1] Iteration[51/214], loss: 3.8058, nitc_loss: 4.0102, ritc_loss: -0.2044, Base Lr: 1.26e-05
