huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
Epoch[1] Iteration[1/1608], loss: 5.5812, nitc_loss: 2.8677, ss_loss: 1.3477, citc_loss: 0.0004, ritc_loss: 1.3655, Base Lr: 1.00e-06
Epoch[1] Iteration[2/1608], loss: 5.4415, nitc_loss: 2.7839, ss_loss: 1.3069, citc_loss: 0.0004, ritc_loss: 1.3504, Base Lr: 1.03e-06
Epoch[1] Iteration[3/1608], loss: 5.4774, nitc_loss: 2.7976, ss_loss: 1.3222, citc_loss: 0.0009, ritc_loss: 1.3567, Base Lr: 1.06e-06
Epoch[1] Iteration[4/1608], loss: 5.3624, nitc_loss: 2.6973, ss_loss: 1.3202, citc_loss: 0.0005, ritc_loss: 1.3444, Base Lr: 1.09e-06
Epoch[1] Iteration[5/1608], loss: 5.4563, nitc_loss: 2.8404, ss_loss: 1.2456, citc_loss: 0.0005, ritc_loss: 1.3698, Base Lr: 1.12e-06
Epoch[1] Iteration[6/1608], loss: 5.3289, nitc_loss: 2.6939, ss_loss: 1.3048, citc_loss: 0.0005, ritc_loss: 1.3297, Base Lr: 1.15e-06
Epoch[1] Iteration[7/1608], loss: 5.3805, nitc_loss: 2.7402, ss_loss: 1.3150, citc_loss: 0.0005, ritc_loss: 1.3249, Base Lr: 1.18e-06
Epoch[1] Iteration[8/1608], loss: 5.4311, nitc_loss: 2.7516, ss_loss: 1.3375, citc_loss: 0.0007, ritc_loss: 1.3413, Base Lr: 1.22e-06
Epoch[1] Iteration[9/1608], loss: 5.4992, nitc_loss: 2.7875, ss_loss: 1.3507, citc_loss: 0.0005, ritc_loss: 1.3604, Base Lr: 1.25e-06
Epoch[1] Iteration[10/1608], loss: 5.3497, nitc_loss: 2.7504, ss_loss: 1.2507, citc_loss: 0.0005, ritc_loss: 1.3482, Base Lr: 1.28e-06
Epoch[1] Iteration[11/1608], loss: 5.2558, nitc_loss: 2.6914, ss_loss: 1.2431, citc_loss: 0.0009, ritc_loss: 1.3204, Base Lr: 1.31e-06
Epoch[1] Iteration[12/1608], loss: 5.2834, nitc_loss: 2.7489, ss_loss: 1.1835, citc_loss: 0.0007, ritc_loss: 1.3503, Base Lr: 1.34e-06
Epoch[1] Iteration[13/1608], loss: 5.1171, nitc_loss: 2.6501, ss_loss: 1.1376, citc_loss: 0.0007, ritc_loss: 1.3287, Base Lr: 1.37e-06
Epoch[1] Iteration[14/1608], loss: 5.1744, nitc_loss: 2.6569, ss_loss: 1.1935, citc_loss: 0.0008, ritc_loss: 1.3231, Base Lr: 1.40e-06
