Epoch[1] Iteration[1/1072], loss: 5.7827, nitc_loss: 3.2159, ss_loss: 1.5193, citc_loss: 0.0003, ritc_loss: 1.0472, Base Lr: 1.00e-06
Epoch[1] Iteration[2/1072], loss: 5.7800, nitc_loss: 3.2102, ss_loss: 1.5196, citc_loss: 0.0007, ritc_loss: 1.0494, Base Lr: 1.05e-06
Epoch[1] Iteration[3/1072], loss: 5.6362, nitc_loss: 3.1298, ss_loss: 1.4712, citc_loss: 0.0005, ritc_loss: 1.0348, Base Lr: 1.09e-06
Epoch[1] Iteration[4/1072], loss: 5.6899, nitc_loss: 3.1863, ss_loss: 1.4561, citc_loss: 0.0004, ritc_loss: 1.0470, Base Lr: 1.14e-06
Epoch[1] Iteration[5/1072], loss: 5.7430, nitc_loss: 3.1892, ss_loss: 1.5141, citc_loss: 0.0004, ritc_loss: 1.0393, Base Lr: 1.18e-06
Epoch[1] Iteration[6/1072], loss: 5.6705, nitc_loss: 3.1780, ss_loss: 1.4534, citc_loss: 0.0005, ritc_loss: 1.0386, Base Lr: 1.23e-06
Epoch[1] Iteration[7/1072], loss: 5.7589, nitc_loss: 3.2090, ss_loss: 1.5044, citc_loss: 0.0006, ritc_loss: 1.0449, Base Lr: 1.28e-06
Epoch[1] Iteration[8/1072], loss: 5.6488, nitc_loss: 3.1477, ss_loss: 1.4670, citc_loss: 0.0007, ritc_loss: 1.0333, Base Lr: 1.32e-06
Epoch[1] Iteration[9/1072], loss: 5.5258, nitc_loss: 3.0070, ss_loss: 1.4996, citc_loss: 0.0005, ritc_loss: 1.0186, Base Lr: 1.37e-06
Epoch[1] Iteration[10/1072], loss: 5.5393, nitc_loss: 3.1032, ss_loss: 1.3936, citc_loss: 0.0007, ritc_loss: 1.0419, Base Lr: 1.42e-06
Epoch[1] Iteration[11/1072], loss: 5.6542, nitc_loss: 3.1956, ss_loss: 1.4075, citc_loss: 0.0007, ritc_loss: 1.0505, Base Lr: 1.46e-06
Epoch[1] Iteration[12/1072], loss: 5.5815, nitc_loss: 3.1790, ss_loss: 1.3568, citc_loss: 0.0007, ritc_loss: 1.0451, Base Lr: 1.51e-06
Epoch[1] Iteration[13/1072], loss: 5.3607, nitc_loss: 3.0237, ss_loss: 1.3381, citc_loss: 0.0007, ritc_loss: 0.9981, Base Lr: 1.55e-06
Epoch[1] Iteration[14/1072], loss: 5.4704, nitc_loss: 3.0859, ss_loss: 1.3534, citc_loss: 0.0008, ritc_loss: 1.0303, Base Lr: 1.60e-06
Epoch[1] Iteration[15/1072], loss: 5.6266, nitc_loss: 3.1275, ss_loss: 1.4621, citc_loss: 0.0008, ritc_loss: 1.0362, Base Lr: 1.65e-06
Epoch[1] Iteration[16/1072], loss: 5.4566, nitc_loss: 3.0418, ss_loss: 1.3824, citc_loss: 0.0008, ritc_loss: 1.0316, Base Lr: 1.69e-06
Epoch[1] Iteration[17/1072], loss: 5.5397, nitc_loss: 3.1475, ss_loss: 1.3404, citc_loss: 0.0007, ritc_loss: 1.0511, Base Lr: 1.74e-06
Epoch[1] Iteration[18/1072], loss: 5.3888, nitc_loss: 3.0623, ss_loss: 1.2739, citc_loss: 0.0012, ritc_loss: 1.0514, Base Lr: 1.79e-06
Epoch[1] Iteration[19/1072], loss: 5.4596, nitc_loss: 3.0744, ss_loss: 1.3383, citc_loss: 0.0013, ritc_loss: 1.0456, Base Lr: 1.83e-06
Epoch[1] Iteration[20/1072], loss: 5.4373, nitc_loss: 3.0686, ss_loss: 1.3211, citc_loss: 0.0012, ritc_loss: 1.0464, Base Lr: 1.88e-06
Epoch[1] Iteration[21/1072], loss: 5.3103, nitc_loss: 3.0026, ss_loss: 1.2796, citc_loss: 0.0010, ritc_loss: 1.0272, Base Lr: 1.92e-06
Epoch[1] Iteration[22/1072], loss: 5.2024, nitc_loss: 2.9918, ss_loss: 1.1817, citc_loss: 0.0012, ritc_loss: 1.0276, Base Lr: 1.97e-06
Epoch[1] Iteration[23/1072], loss: 5.2801, nitc_loss: 2.9815, ss_loss: 1.2561, citc_loss: 0.0011, ritc_loss: 1.0415, Base Lr: 2.02e-06
Epoch[1] Iteration[24/1072], loss: 5.3205, nitc_loss: 3.0478, ss_loss: 1.2098, citc_loss: 0.0013, ritc_loss: 1.0616, Base Lr: 2.06e-06
Epoch[1] Iteration[25/1072], loss: 5.2971, nitc_loss: 3.0696, ss_loss: 1.1760, citc_loss: 0.0018, ritc_loss: 1.0497, Base Lr: 2.11e-06
Epoch[1] Iteration[26/1072], loss: 5.1883, nitc_loss: 2.9588, ss_loss: 1.1962, citc_loss: 0.0014, ritc_loss: 1.0319, Base Lr: 2.15e-06
Epoch[1] Iteration[27/1072], loss: 5.0835, nitc_loss: 2.8784, ss_loss: 1.1772, citc_loss: 0.0017, ritc_loss: 1.0263, Base Lr: 2.20e-06
Epoch[1] Iteration[28/1072], loss: 5.1084, nitc_loss: 2.8655, ss_loss: 1.1950, citc_loss: 0.0011, ritc_loss: 1.0468, Base Lr: 2.25e-06
Epoch[1] Iteration[29/1072], loss: 5.1250, nitc_loss: 2.9272, ss_loss: 1.1690, citc_loss: 0.0019, ritc_loss: 1.0269, Base Lr: 2.29e-06
Epoch[1] Iteration[30/1072], loss: 4.9514, nitc_loss: 2.9139, ss_loss: 1.0073, citc_loss: 0.0020, ritc_loss: 1.0283, Base Lr: 2.34e-06
Epoch[1] Iteration[31/1072], loss: 5.1053, nitc_loss: 2.9167, ss_loss: 1.1606, citc_loss: 0.0017, ritc_loss: 1.0262, Base Lr: 2.39e-06
Epoch[1] Iteration[32/1072], loss: 5.1289, nitc_loss: 2.9866, ss_loss: 1.0955, citc_loss: 0.0019, ritc_loss: 1.0449, Base Lr: 2.43e-06
Epoch[1] Iteration[33/1072], loss: 5.1799, nitc_loss: 2.9656, ss_loss: 1.1671, citc_loss: 0.0021, ritc_loss: 1.0452, Base Lr: 2.48e-06
Epoch[1] Iteration[34/1072], loss: 4.9571, nitc_loss: 2.7990, ss_loss: 1.1472, citc_loss: 0.0020, ritc_loss: 1.0090, Base Lr: 2.52e-06
Epoch[1] Iteration[35/1072], loss: 5.0425, nitc_loss: 2.9453, ss_loss: 1.0506, citc_loss: 0.0025, ritc_loss: 1.0441, Base Lr: 2.57e-06
Epoch[1] Iteration[36/1072], loss: 4.9449, nitc_loss: 2.8275, ss_loss: 1.0858, citc_loss: 0.0027, ritc_loss: 1.0290, Base Lr: 2.62e-06
Epoch[1] Iteration[37/1072], loss: 5.0067, nitc_loss: 2.8962, ss_loss: 1.0504, citc_loss: 0.0025, ritc_loss: 1.0575, Base Lr: 2.66e-06
Epoch[1] Iteration[38/1072], loss: 5.0910, nitc_loss: 2.9388, ss_loss: 1.1014, citc_loss: 0.0029, ritc_loss: 1.0479, Base Lr: 2.71e-06
Epoch[1] Iteration[39/1072], loss: 4.8965, nitc_loss: 2.7763, ss_loss: 1.0953, citc_loss: 0.0025, ritc_loss: 1.0224, Base Lr: 2.76e-06
Epoch[1] Iteration[40/1072], loss: 4.8114, nitc_loss: 2.7590, ss_loss: 1.0171, citc_loss: 0.0028, ritc_loss: 1.0325, Base Lr: 2.80e-06
Epoch[1] Iteration[41/1072], loss: 5.0517, nitc_loss: 2.8918, ss_loss: 1.1068, citc_loss: 0.0033, ritc_loss: 1.0498, Base Lr: 2.85e-06
Epoch[1] Iteration[42/1072], loss: 4.9348, nitc_loss: 2.8177, ss_loss: 1.0742, citc_loss: 0.0026, ritc_loss: 1.0403, Base Lr: 2.89e-06
Epoch[1] Iteration[43/1072], loss: 4.9267, nitc_loss: 2.8395, ss_loss: 1.0410, citc_loss: 0.0029, ritc_loss: 1.0433, Base Lr: 2.94e-06
Epoch[1] Iteration[44/1072], loss: 5.1020, nitc_loss: 2.9188, ss_loss: 1.1220, citc_loss: 0.0031, ritc_loss: 1.0580, Base Lr: 2.99e-06
Epoch[1] Iteration[45/1072], loss: 4.9328, nitc_loss: 2.8690, ss_loss: 0.9993, citc_loss: 0.0034, ritc_loss: 1.0611, Base Lr: 3.03e-06
Epoch[1] Iteration[46/1072], loss: 4.9141, nitc_loss: 2.8304, ss_loss: 1.0510, citc_loss: 0.0042, ritc_loss: 1.0285, Base Lr: 3.08e-06
Epoch[1] Iteration[47/1072], loss: 5.0072, nitc_loss: 2.9473, ss_loss: 0.9984, citc_loss: 0.0033, ritc_loss: 1.0582, Base Lr: 3.13e-06
Epoch[1] Iteration[48/1072], loss: 4.9880, nitc_loss: 2.8268, ss_loss: 1.0972, citc_loss: 0.0033, ritc_loss: 1.0606, Base Lr: 3.17e-06
Epoch[1] Iteration[49/1072], loss: 4.7520, nitc_loss: 2.6889, ss_loss: 1.0010, citc_loss: 0.0034, ritc_loss: 1.0587, Base Lr: 3.22e-06
Epoch[1] Iteration[50/1072], loss: 4.9784, nitc_loss: 2.8552, ss_loss: 1.0885, citc_loss: 0.0039, ritc_loss: 1.0308, Base Lr: 3.26e-06
Epoch[1] Iteration[51/1072], loss: 4.7611, nitc_loss: 2.7581, ss_loss: 0.9456, citc_loss: 0.0040, ritc_loss: 1.0534, Base Lr: 3.31e-06
Epoch[1] Iteration[52/1072], loss: 4.8040, nitc_loss: 2.8153, ss_loss: 0.9355, citc_loss: 0.0038, ritc_loss: 1.0494, Base Lr: 3.36e-06
Epoch[1] Iteration[53/1072], loss: 4.8995, nitc_loss: 2.8090, ss_loss: 0.9979, citc_loss: 0.0041, ritc_loss: 1.0885, Base Lr: 3.40e-06
Epoch[1] Iteration[54/1072], loss: 4.6515, nitc_loss: 2.6427, ss_loss: 0.9312, citc_loss: 0.0040, ritc_loss: 1.0735, Base Lr: 3.45e-06
Epoch[1] Iteration[55/1072], loss: 4.5434, nitc_loss: 2.5683, ss_loss: 0.9750, citc_loss: 0.0049, ritc_loss: 0.9952, Base Lr: 3.49e-06
Epoch[1] Iteration[56/1072], loss: 4.5134, nitc_loss: 2.4941, ss_loss: 0.9675, citc_loss: 0.0036, ritc_loss: 1.0482, Base Lr: 3.54e-06
Epoch[1] Iteration[57/1072], loss: 4.9833, nitc_loss: 2.8333, ss_loss: 1.0524, citc_loss: 0.0045, ritc_loss: 1.0931, Base Lr: 3.59e-06
Epoch[1] Iteration[58/1072], loss: 4.8782, nitc_loss: 2.8502, ss_loss: 0.9436, citc_loss: 0.0047, ritc_loss: 1.0798, Base Lr: 3.63e-06
Epoch[1] Iteration[59/1072], loss: 4.8246, nitc_loss: 2.7221, ss_loss: 1.0420, citc_loss: 0.0041, ritc_loss: 1.0564, Base Lr: 3.68e-06
Epoch[1] Iteration[60/1072], loss: 4.6632, nitc_loss: 2.7156, ss_loss: 0.8871, citc_loss: 0.0048, ritc_loss: 1.0557, Base Lr: 3.73e-06
Epoch[1] Iteration[61/1072], loss: 4.6566, nitc_loss: 2.5844, ss_loss: 1.0408, citc_loss: 0.0051, ritc_loss: 1.0264, Base Lr: 3.77e-06
Epoch[1] Iteration[62/1072], loss: 4.5108, nitc_loss: 2.5572, ss_loss: 0.8843, citc_loss: 0.0054, ritc_loss: 1.0639, Base Lr: 3.82e-06
Epoch[1] Iteration[63/1072], loss: 4.6466, nitc_loss: 2.6034, ss_loss: 1.0368, citc_loss: 0.0053, ritc_loss: 1.0011, Base Lr: 3.86e-06
Epoch[1] Iteration[64/1072], loss: 4.6354, nitc_loss: 2.6665, ss_loss: 0.9149, citc_loss: 0.0057, ritc_loss: 1.0484, Base Lr: 3.91e-06
Epoch[1] Iteration[65/1072], loss: 4.7255, nitc_loss: 2.8290, ss_loss: 0.8372, citc_loss: 0.0057, ritc_loss: 1.0536, Base Lr: 3.96e-06
Epoch[1] Iteration[66/1072], loss: 4.5595, nitc_loss: 2.6022, ss_loss: 0.9593, citc_loss: 0.0043, ritc_loss: 0.9938, Base Lr: 4.00e-06
Epoch[1] Iteration[67/1072], loss: 4.4496, nitc_loss: 2.4224, ss_loss: 0.9916, citc_loss: 0.0055, ritc_loss: 1.0301, Base Lr: 4.05e-06
Epoch[1] Iteration[68/1072], loss: 4.6445, nitc_loss: 2.6167, ss_loss: 0.9901, citc_loss: 0.0051, ritc_loss: 1.0326, Base Lr: 4.10e-06
Epoch[1] Iteration[69/1072], loss: 4.7039, nitc_loss: 2.6641, ss_loss: 0.9742, citc_loss: 0.0046, ritc_loss: 1.0611, Base Lr: 4.14e-06
Epoch[1] Iteration[70/1072], loss: 4.7172, nitc_loss: 2.7121, ss_loss: 0.8884, citc_loss: 0.0057, ritc_loss: 1.1110, Base Lr: 4.19e-06
Epoch[1] Iteration[71/1072], loss: 4.5953, nitc_loss: 2.6120, ss_loss: 0.8927, citc_loss: 0.0060, ritc_loss: 1.0845, Base Lr: 4.23e-06
Epoch[1] Iteration[72/1072], loss: 4.4168, nitc_loss: 2.5006, ss_loss: 0.8793, citc_loss: 0.0057, ritc_loss: 1.0311, Base Lr: 4.28e-06
Epoch[1] Iteration[73/1072], loss: 4.7265, nitc_loss: 2.7162, ss_loss: 0.9529, citc_loss: 0.0058, ritc_loss: 1.0516, Base Lr: 4.33e-06
Epoch[1] Iteration[74/1072], loss: 4.9222, nitc_loss: 2.8020, ss_loss: 0.9997, citc_loss: 0.0052, ritc_loss: 1.1153, Base Lr: 4.37e-06
Epoch[1] Iteration[75/1072], loss: 4.5516, nitc_loss: 2.5218, ss_loss: 0.9535, citc_loss: 0.0054, ritc_loss: 1.0709, Base Lr: 4.42e-06
Epoch[1] Iteration[76/1072], loss: 4.5103, nitc_loss: 2.5780, ss_loss: 0.8640, citc_loss: 0.0050, ritc_loss: 1.0634, Base Lr: 4.46e-06
Epoch[1] Iteration[77/1072], loss: 4.5284, nitc_loss: 2.5632, ss_loss: 0.9064, citc_loss: 0.0058, ritc_loss: 1.0530, Base Lr: 4.51e-06
Epoch[1] Iteration[78/1072], loss: 4.5754, nitc_loss: 2.6854, ss_loss: 0.8509, citc_loss: 0.0054, ritc_loss: 1.0337, Base Lr: 4.56e-06
Epoch[1] Iteration[79/1072], loss: 4.5795, nitc_loss: 2.5563, ss_loss: 0.9445, citc_loss: 0.0053, ritc_loss: 1.0734, Base Lr: 4.60e-06
