
Epoch[1] Iteration[1/321], loss: 6.3327, nitc_loss: 4.4070, ss_loss: 1.9462, citc_loss: 0.0005, ritc_loss: -0.0209, Base Lr: 1.00e-06
Epoch[1] Iteration[2/321], loss: 6.2831, nitc_loss: 4.3803, ss_loss: 1.9269, citc_loss: 0.0005, ritc_loss: -0.0246, Base Lr: 1.15e-06
Epoch[1] Iteration[3/321], loss: 6.1972, nitc_loss: 4.3314, ss_loss: 1.8847, citc_loss: 0.0006, ritc_loss: -0.0195, Base Lr: 1.31e-06
Epoch[1] Iteration[4/321], loss: 6.2885, nitc_loss: 4.3685, ss_loss: 1.9441, citc_loss: 0.0006, ritc_loss: -0.0246, Base Lr: 1.46e-06
Epoch[1] Iteration[5/321], loss: 6.2380, nitc_loss: 4.3630, ss_loss: 1.8936, citc_loss: 0.0006, ritc_loss: -0.0191, Base Lr: 1.62e-06
Epoch[1] Iteration[6/321], loss: 6.2493, nitc_loss: 4.3652, ss_loss: 1.8950, citc_loss: 0.0007, ritc_loss: -0.0116, Base Lr: 1.77e-06
Epoch[1] Iteration[7/321], loss: 6.1943, nitc_loss: 4.3300, ss_loss: 1.8753, citc_loss: 0.0006, ritc_loss: -0.0115, Base Lr: 1.93e-06
Epoch[1] Iteration[8/321], loss: 6.1591, nitc_loss: 4.3121, ss_loss: 1.8681, citc_loss: 0.0007, ritc_loss: -0.0218, Base Lr: 2.08e-06
Epoch[1] Iteration[9/321], loss: 6.0593, nitc_loss: 4.2977, ss_loss: 1.7728, citc_loss: 0.0008, ritc_loss: -0.0119, Base Lr: 2.24e-06
Epoch[1] Iteration[10/321], loss: 6.0868, nitc_loss: 4.2981, ss_loss: 1.7985, citc_loss: 0.0008, ritc_loss: -0.0107, Base Lr: 2.39e-06
Epoch[1] Iteration[11/321], loss: 6.0673, nitc_loss: 4.2823, ss_loss: 1.7896, citc_loss: 0.0010, ritc_loss: -0.0056, Base Lr: 2.54e-06
Epoch[1] Iteration[12/321], loss: 6.0322, nitc_loss: 4.2645, ss_loss: 1.7760, citc_loss: 0.0010, ritc_loss: -0.0093, Base Lr: 2.70e-06
Epoch[1] Iteration[13/321], loss: 6.1224, nitc_loss: 4.2873, ss_loss: 1.8412, citc_loss: 0.0010, ritc_loss: -0.0072, Base Lr: 2.85e-06
Epoch[1] Iteration[14/321], loss: 6.0120, nitc_loss: 4.2977, ss_loss: 1.7161, citc_loss: 0.0013, ritc_loss: -0.0032, Base Lr: 3.01e-06
Epoch[1] Iteration[15/321], loss: 5.9116, nitc_loss: 4.2244, ss_loss: 1.6906, citc_loss: 0.0013, ritc_loss: -0.0048, Base Lr: 3.16e-06
Epoch[1] Iteration[16/321], loss: 5.8381, nitc_loss: 4.1841, ss_loss: 1.6473, citc_loss: 0.0017, ritc_loss: 0.0051, Base Lr: 3.32e-06
Epoch[1] Iteration[17/321], loss: 5.6754, nitc_loss: 4.0807, ss_loss: 1.5887, citc_loss: 0.0016, ritc_loss: 0.0043, Base Lr: 3.47e-06
Epoch[1] Iteration[18/321], loss: 5.8392, nitc_loss: 4.1753, ss_loss: 1.6536, citc_loss: 0.0019, ritc_loss: 0.0084, Base Lr: 3.63e-06
Epoch[1] Iteration[19/321], loss: 5.6958, nitc_loss: 4.0514, ss_loss: 1.6359, citc_loss: 0.0021, ritc_loss: 0.0065, Base Lr: 3.78e-06
Epoch[1] Iteration[20/321], loss: 5.7613, nitc_loss: 4.1235, ss_loss: 1.6237, citc_loss: 0.0023, ritc_loss: 0.0117, Base Lr: 3.93e-06
Epoch[1] Iteration[21/321], loss: 5.6912, nitc_loss: 4.0629, ss_loss: 1.6068, citc_loss: 0.0025, ritc_loss: 0.0189, Base Lr: 4.09e-06
Epoch[1] Iteration[22/321], loss: 5.6736, nitc_loss: 4.0839, ss_loss: 1.5614, citc_loss: 0.0026, ritc_loss: 0.0257, Base Lr: 4.24e-06
Epoch[1] Iteration[23/321], loss: 5.6063, nitc_loss: 4.0426, ss_loss: 1.5305, citc_loss: 0.0027, ritc_loss: 0.0305, Base Lr: 4.40e-06
Epoch[1] Iteration[24/321], loss: 5.5354, nitc_loss: 3.9949, ss_loss: 1.4916, citc_loss: 0.0028, ritc_loss: 0.0460, Base Lr: 4.55e-06
Epoch[1] Iteration[25/321], loss: 5.5350, nitc_loss: 3.9805, ss_loss: 1.5027, citc_loss: 0.0029, ritc_loss: 0.0489, Base Lr: 4.71e-06
Epoch[1] Iteration[26/321], loss: 5.5215, nitc_loss: 3.9415, ss_loss: 1.5373, citc_loss: 0.0029, ritc_loss: 0.0399, Base Lr: 4.86e-06
Epoch[1] Iteration[27/321], loss: 5.5544, nitc_loss: 3.9689, ss_loss: 1.5207, citc_loss: 0.0032, ritc_loss: 0.0615, Base Lr: 5.02e-06
Epoch[1] Iteration[28/321], loss: 5.5154, nitc_loss: 3.9874, ss_loss: 1.4549, citc_loss: 0.0033, ritc_loss: 0.0698, Base Lr: 5.17e-06
Epoch[1] Iteration[29/321], loss: 5.4369, nitc_loss: 3.9241, ss_loss: 1.4458, citc_loss: 0.0035, ritc_loss: 0.0634, Base Lr: 5.32e-06
Epoch[1] Iteration[30/321], loss: 5.5611, nitc_loss: 4.0676, ss_loss: 1.4212, citc_loss: 0.0040, ritc_loss: 0.0683, Base Lr: 5.48e-06
Epoch[1] Iteration[31/321], loss: 5.4038, nitc_loss: 3.9250, ss_loss: 1.4049, citc_loss: 0.0041, ritc_loss: 0.0697, Base Lr: 5.63e-06
Epoch[1] Iteration[32/321], loss: 5.3760, nitc_loss: 3.8534, ss_loss: 1.4334, citc_loss: 0.0042, ritc_loss: 0.0850, Base Lr: 5.79e-06
Epoch[1] Iteration[33/321], loss: 5.3442, nitc_loss: 3.8418, ss_loss: 1.4188, citc_loss: 0.0044, ritc_loss: 0.0792, Base Lr: 5.94e-06
Epoch[1] Iteration[34/321], loss: 5.4281, nitc_loss: 3.8969, ss_loss: 1.4565, citc_loss: 0.0041, ritc_loss: 0.0706, Base Lr: 6.10e-06
Epoch[1] Iteration[35/321], loss: 5.3640, nitc_loss: 3.8702, ss_loss: 1.3918, citc_loss: 0.0045, ritc_loss: 0.0976, Base Lr: 6.25e-06
Epoch[1] Iteration[36/321], loss: 5.3749, nitc_loss: 3.8726, ss_loss: 1.4076, citc_loss: 0.0042, ritc_loss: 0.0906, Base Lr: 6.41e-06
Epoch[1] Iteration[37/321], loss: 5.3388, nitc_loss: 3.8889, ss_loss: 1.3554, citc_loss: 0.0044, ritc_loss: 0.0902, Base Lr: 6.56e-06
Epoch[1] Iteration[38/321], loss: 5.3988, nitc_loss: 3.8868, ss_loss: 1.4082, citc_loss: 0.0046, ritc_loss: 0.0992, Base Lr: 6.71e-06
Epoch[1] Iteration[39/321], loss: 5.3245, nitc_loss: 3.7350, ss_loss: 1.4400, citc_loss: 0.0042, ritc_loss: 0.1453, Base Lr: 6.87e-06
Epoch[1] Iteration[40/321], loss: 5.2823, nitc_loss: 3.7880, ss_loss: 1.3867, citc_loss: 0.0048, ritc_loss: 0.1028, Base Lr: 7.02e-06
Epoch[1] Iteration[41/321], loss: 5.2855, nitc_loss: 3.7708, ss_loss: 1.3992, citc_loss: 0.0050, ritc_loss: 0.1105, Base Lr: 7.18e-06
Epoch[1] Iteration[42/321], loss: 5.2666, nitc_loss: 3.8221, ss_loss: 1.3012, citc_loss: 0.0055, ritc_loss: 0.1378, Base Lr: 7.33e-06
Epoch[1] Iteration[43/321], loss: 5.2477, nitc_loss: 3.7754, ss_loss: 1.3412, citc_loss: 0.0051, ritc_loss: 0.1261, Base Lr: 7.49e-06
Epoch[1] Iteration[44/321], loss: 5.1070, nitc_loss: 3.6553, ss_loss: 1.2954, citc_loss: 0.0056, ritc_loss: 0.1507, Base Lr: 7.64e-06
Epoch[1] Iteration[45/321], loss: 5.2659, nitc_loss: 3.7990, ss_loss: 1.3375, citc_loss: 0.0052, ritc_loss: 0.1242, Base Lr: 7.80e-06
Epoch[1] Iteration[46/321], loss: 5.3011, nitc_loss: 3.7615, ss_loss: 1.3923, citc_loss: 0.0051, ritc_loss: 0.1423, Base Lr: 7.95e-06
Epoch[1] Iteration[47/321], loss: 5.2465, nitc_loss: 3.7851, ss_loss: 1.3344, citc_loss: 0.0054, ritc_loss: 0.1217, Base Lr: 8.10e-06
Epoch[1] Iteration[48/321], loss: 5.2610, nitc_loss: 3.7369, ss_loss: 1.3762, citc_loss: 0.0053, ritc_loss: 0.1425, Base Lr: 8.26e-06
Epoch[1] Iteration[49/321], loss: 5.1551, nitc_loss: 3.7678, ss_loss: 1.2662, citc_loss: 0.0066, ritc_loss: 0.1145, Base Lr: 8.41e-06
Epoch[1] Iteration[50/321], loss: 5.1018, nitc_loss: 3.7113, ss_loss: 1.2494, citc_loss: 0.0064, ritc_loss: 0.1346, Base Lr: 8.57e-06
Epoch[1] Iteration[51/321], loss: 5.1880, nitc_loss: 3.7765, ss_loss: 1.2814, citc_loss: 0.0055, ritc_loss: 0.1246, Base Lr: 8.72e-06
Epoch[1] Iteration[52/321], loss: 5.4439, nitc_loss: 3.9277, ss_loss: 1.3631, citc_loss: 0.0052, ritc_loss: 0.1479, Base Lr: 8.88e-06
Epoch[1] Iteration[53/321], loss: 5.4576, nitc_loss: 3.9406, ss_loss: 1.3964, citc_loss: 0.0052, ritc_loss: 0.1155, Base Lr: 9.03e-06
Epoch[1] Iteration[54/321], loss: 5.4688, nitc_loss: 3.8666, ss_loss: 1.4547, citc_loss: 0.0054, ritc_loss: 0.1422, Base Lr: 9.19e-06
