
Epoch[1] Iteration[1/268], loss: 6.4066, nitc_loss: 4.5779, ss_loss: 2.0207, citc_loss: 0.0004, ritc_loss: -0.1924, Base Lr: 1.00e-06
Epoch[1] Iteration[2/268], loss: 6.4046, nitc_loss: 4.5606, ss_loss: 2.0388, citc_loss: 0.0005, ritc_loss: -0.1953, Base Lr: 1.19e-06
Epoch[1] Iteration[3/268], loss: 6.3839, nitc_loss: 4.5439, ss_loss: 2.0328, citc_loss: 0.0006, ritc_loss: -0.1934, Base Lr: 1.37e-06
Epoch[1] Iteration[4/268], loss: 6.4099, nitc_loss: 4.5462, ss_loss: 2.0597, citc_loss: 0.0005, ritc_loss: -0.1965, Base Lr: 1.56e-06
Epoch[1] Iteration[5/268], loss: 6.4025, nitc_loss: 4.5867, ss_loss: 2.0041, citc_loss: 0.0006, ritc_loss: -0.1889, Base Lr: 1.74e-06
Epoch[1] Iteration[6/268], loss: 6.3180, nitc_loss: 4.5351, ss_loss: 1.9704, citc_loss: 0.0005, ritc_loss: -0.1880, Base Lr: 1.93e-06
Epoch[1] Iteration[7/268], loss: 6.2750, nitc_loss: 4.5237, ss_loss: 1.9398, citc_loss: 0.0007, ritc_loss: -0.1892, Base Lr: 2.11e-06
Epoch[1] Iteration[8/268], loss: 6.2599, nitc_loss: 4.4974, ss_loss: 1.9507, citc_loss: 0.0008, ritc_loss: -0.1889, Base Lr: 2.30e-06
Epoch[1] Iteration[9/268], loss: 6.1971, nitc_loss: 4.4845, ss_loss: 1.8966, citc_loss: 0.0008, ritc_loss: -0.1848, Base Lr: 2.48e-06
Epoch[1] Iteration[10/268], loss: 6.1517, nitc_loss: 4.4697, ss_loss: 1.8635, citc_loss: 0.0010, ritc_loss: -0.1825, Base Lr: 2.67e-06
Epoch[1] Iteration[11/268], loss: 6.1832, nitc_loss: 4.4833, ss_loss: 1.8776, citc_loss: 0.0010, ritc_loss: -0.1786, Base Lr: 2.85e-06
Epoch[1] Iteration[12/268], loss: 6.1235, nitc_loss: 4.5029, ss_loss: 1.8032, citc_loss: 0.0012, ritc_loss: -0.1839, Base Lr: 3.04e-06
Epoch[1] Iteration[13/268], loss: 6.0351, nitc_loss: 4.4394, ss_loss: 1.7762, citc_loss: 0.0012, ritc_loss: -0.1817, Base Lr: 3.22e-06
Epoch[1] Iteration[14/268], loss: 5.9302, nitc_loss: 4.3194, ss_loss: 1.7788, citc_loss: 0.0012, ritc_loss: -0.1692, Base Lr: 3.41e-06
Epoch[1] Iteration[15/268], loss: 6.0386, nitc_loss: 4.3735, ss_loss: 1.8293, citc_loss: 0.0014, ritc_loss: -0.1656, Base Lr: 3.59e-06
Epoch[1] Iteration[16/268], loss: 5.8652, nitc_loss: 4.2983, ss_loss: 1.7327, citc_loss: 0.0017, ritc_loss: -0.1675, Base Lr: 3.78e-06
Epoch[1] Iteration[17/268], loss: 5.8536, nitc_loss: 4.3591, ss_loss: 1.6604, citc_loss: 0.0020, ritc_loss: -0.1678, Base Lr: 3.96e-06
Epoch[1] Iteration[18/268], loss: 5.8554, nitc_loss: 4.3374, ss_loss: 1.6718, citc_loss: 0.0019, ritc_loss: -0.1558, Base Lr: 4.15e-06
Epoch[1] Iteration[19/268], loss: 5.8763, nitc_loss: 4.3311, ss_loss: 1.7026, citc_loss: 0.0023, ritc_loss: -0.1597, Base Lr: 4.33e-06
Epoch[1] Iteration[20/268], loss: 5.7169, nitc_loss: 4.2697, ss_loss: 1.5904, citc_loss: 0.0025, ritc_loss: -0.1457, Base Lr: 4.52e-06
Epoch[1] Iteration[21/268], loss: 5.7130, nitc_loss: 4.2541, ss_loss: 1.6006, citc_loss: 0.0023, ritc_loss: -0.1440, Base Lr: 4.70e-06
Epoch[1] Iteration[22/268], loss: 5.7980, nitc_loss: 4.2589, ss_loss: 1.6816, citc_loss: 0.0024, ritc_loss: -0.1449, Base Lr: 4.89e-06
