
Epoch[1] Iteration[1/402], loss: 6.4113, nitc_loss: 4.1684, ss_loss: 1.8725, citc_loss: 0.0004, ritc_loss: 0.3700, Base Lr: 1.00e-06
Epoch[1] Iteration[2/402], loss: 6.4188, nitc_loss: 4.1639, ss_loss: 1.8946, citc_loss: 0.0005, ritc_loss: 0.3598, Base Lr: 1.25e-06
Epoch[1] Iteration[3/402], loss: 6.4275, nitc_loss: 4.1720, ss_loss: 1.8888, citc_loss: 0.0005, ritc_loss: 0.3662, Base Lr: 1.49e-06
Epoch[1] Iteration[4/402], loss: 6.3414, nitc_loss: 4.1168, ss_loss: 1.8622, citc_loss: 0.0005, ritc_loss: 0.3620, Base Lr: 1.74e-06
Epoch[1] Iteration[5/402], loss: 6.3231, nitc_loss: 4.1176, ss_loss: 1.8427, citc_loss: 0.0006, ritc_loss: 0.3621, Base Lr: 1.99e-06
Epoch[1] Iteration[6/402], loss: 6.3211, nitc_loss: 4.1202, ss_loss: 1.8392, citc_loss: 0.0007, ritc_loss: 0.3610, Base Lr: 2.23e-06
Epoch[1] Iteration[7/402], loss: 6.3257, nitc_loss: 4.1224, ss_loss: 1.8288, citc_loss: 0.0007, ritc_loss: 0.3738, Base Lr: 2.48e-06
Epoch[1] Iteration[8/402], loss: 6.2711, nitc_loss: 4.0936, ss_loss: 1.7999, citc_loss: 0.0008, ritc_loss: 0.3768, Base Lr: 2.73e-06
Epoch[1] Iteration[9/402], loss: 6.1896, nitc_loss: 4.0645, ss_loss: 1.7480, citc_loss: 0.0007, ritc_loss: 0.3764, Base Lr: 2.98e-06
Epoch[1] Iteration[10/402], loss: 6.1678, nitc_loss: 4.0687, ss_loss: 1.7254, citc_loss: 0.0010, ritc_loss: 0.3728, Base Lr: 3.22e-06
Epoch[1] Iteration[11/402], loss: 6.1315, nitc_loss: 4.0176, ss_loss: 1.7352, citc_loss: 0.0009, ritc_loss: 0.3778, Base Lr: 3.47e-06
Epoch[1] Iteration[12/402], loss: 6.0426, nitc_loss: 4.0274, ss_loss: 1.6340, citc_loss: 0.0009, ritc_loss: 0.3802, Base Lr: 3.72e-06
Epoch[1] Iteration[13/402], loss: 6.0701, nitc_loss: 4.0010, ss_loss: 1.6852, citc_loss: 0.0012, ritc_loss: 0.3827, Base Lr: 3.96e-06
Epoch[1] Iteration[14/402], loss: 5.9934, nitc_loss: 3.9954, ss_loss: 1.6069, citc_loss: 0.0015, ritc_loss: 0.3896, Base Lr: 4.21e-06
Epoch[1] Iteration[15/402], loss: 5.9535, nitc_loss: 3.9478, ss_loss: 1.6238, citc_loss: 0.0015, ritc_loss: 0.3804, Base Lr: 4.46e-06
Epoch[1] Iteration[16/402], loss: 5.9381, nitc_loss: 3.9581, ss_loss: 1.5886, citc_loss: 0.0017, ritc_loss: 0.3897, Base Lr: 4.70e-06
