
Epoch[1] Iteration[1/321], loss: 6.6719, nitc_loss: 4.4070, ss_loss: 1.9462, citc_loss: 0.0005, ritc_loss: 0.3182, Base Lr: 1.00e-06
Epoch[1] Iteration[2/321], loss: 6.6186, nitc_loss: 4.3805, ss_loss: 1.9271, citc_loss: 0.0005, ritc_loss: 0.3106, Base Lr: 1.31e-06
Epoch[1] Iteration[3/321], loss: 6.5380, nitc_loss: 4.3322, ss_loss: 1.8848, citc_loss: 0.0006, ritc_loss: 0.3203, Base Lr: 1.62e-06
Epoch[1] Iteration[4/321], loss: 6.6109, nitc_loss: 4.3653, ss_loss: 1.9350, citc_loss: 0.0006, ritc_loss: 0.3100, Base Lr: 1.93e-06
Epoch[1] Iteration[5/321], loss: 6.5768, nitc_loss: 4.3643, ss_loss: 1.8917, citc_loss: 0.0006, ritc_loss: 0.3201, Base Lr: 2.24e-06
Epoch[1] Iteration[6/321], loss: 6.5862, nitc_loss: 4.3617, ss_loss: 1.8890, citc_loss: 0.0007, ritc_loss: 0.3348, Base Lr: 2.55e-06
Epoch[1] Iteration[7/321], loss: 6.5341, nitc_loss: 4.3278, ss_loss: 1.8712, citc_loss: 0.0006, ritc_loss: 0.3345, Base Lr: 2.86e-06
Epoch[1] Iteration[8/321], loss: 6.4676, nitc_loss: 4.3024, ss_loss: 1.8497, citc_loss: 0.0008, ritc_loss: 0.3147, Base Lr: 3.17e-06
Epoch[1] Iteration[9/321], loss: 6.3733, nitc_loss: 4.2850, ss_loss: 1.7527, citc_loss: 0.0008, ritc_loss: 0.3347, Base Lr: 3.47e-06
Epoch[1] Iteration[10/321], loss: 6.3947, nitc_loss: 4.2879, ss_loss: 1.7706, citc_loss: 0.0008, ritc_loss: 0.3354, Base Lr: 3.78e-06
Epoch[1] Iteration[11/321], loss: 6.3717, nitc_loss: 4.2677, ss_loss: 1.7553, citc_loss: 0.0011, ritc_loss: 0.3475, Base Lr: 4.09e-06
Epoch[1] Iteration[12/321], loss: 6.3103, nitc_loss: 4.2390, ss_loss: 1.7266, citc_loss: 0.0012, ritc_loss: 0.3436, Base Lr: 4.40e-06
Epoch[1] Iteration[13/321], loss: 6.3865, nitc_loss: 4.2580, ss_loss: 1.7784, citc_loss: 0.0013, ritc_loss: 0.3489, Base Lr: 4.71e-06
Epoch[1] Iteration[14/321], loss: 6.2657, nitc_loss: 4.2668, ss_loss: 1.6436, citc_loss: 0.0016, ritc_loss: 0.3536, Base Lr: 5.02e-06
Epoch[1] Iteration[15/321], loss: 6.1714, nitc_loss: 4.1901, ss_loss: 1.6269, citc_loss: 0.0016, ritc_loss: 0.3528, Base Lr: 5.33e-06
Epoch[1] Iteration[16/321], loss: 6.1225, nitc_loss: 4.1583, ss_loss: 1.5853, citc_loss: 0.0020, ritc_loss: 0.3769, Base Lr: 5.64e-06
Epoch[1] Iteration[17/321], loss: 5.9291, nitc_loss: 4.0380, ss_loss: 1.5076, citc_loss: 0.0019, ritc_loss: 0.3816, Base Lr: 5.95e-06
Epoch[1] Iteration[18/321], loss: 6.0694, nitc_loss: 4.1325, ss_loss: 1.5522, citc_loss: 0.0022, ritc_loss: 0.3825, Base Lr: 6.26e-06
Epoch[1] Iteration[19/321], loss: 5.9343, nitc_loss: 4.0098, ss_loss: 1.5365, citc_loss: 0.0024, ritc_loss: 0.3856, Base Lr: 6.57e-06
Epoch[1] Iteration[20/321], loss: 6.0352, nitc_loss: 4.0824, ss_loss: 1.5572, citc_loss: 0.0027, ritc_loss: 0.3928, Base Lr: 6.88e-06
Epoch[1] Iteration[21/321], loss: 5.9570, nitc_loss: 4.0148, ss_loss: 1.5319, citc_loss: 0.0028, ritc_loss: 0.4075, Base Lr: 7.19e-06
Epoch[1] Iteration[22/321], loss: 5.9137, nitc_loss: 4.0268, ss_loss: 1.4665, citc_loss: 0.0030, ritc_loss: 0.4175, Base Lr: 7.50e-06
Epoch[1] Iteration[23/321], loss: 5.8802, nitc_loss: 3.9913, ss_loss: 1.4636, citc_loss: 0.0031, ritc_loss: 0.4222, Base Lr: 7.81e-06
Epoch[1] Iteration[24/321], loss: 5.7577, nitc_loss: 3.9493, ss_loss: 1.3648, citc_loss: 0.0033, ritc_loss: 0.4403, Base Lr: 8.12e-06
Epoch[1] Iteration[25/321], loss: 5.7699, nitc_loss: 3.9262, ss_loss: 1.3906, citc_loss: 0.0033, ritc_loss: 0.4499, Base Lr: 8.42e-06
Epoch[1] Iteration[26/321], loss: 5.7742, nitc_loss: 3.9078, ss_loss: 1.4294, citc_loss: 0.0033, ritc_loss: 0.4337, Base Lr: 8.73e-06
Epoch[1] Iteration[27/321], loss: 5.8258, nitc_loss: 3.9387, ss_loss: 1.4100, citc_loss: 0.0036, ritc_loss: 0.4735, Base Lr: 9.04e-06
Epoch[1] Iteration[28/321], loss: 5.7890, nitc_loss: 3.9560, ss_loss: 1.3495, citc_loss: 0.0036, ritc_loss: 0.4799, Base Lr: 9.35e-06
Epoch[1] Iteration[29/321], loss: 5.6984, nitc_loss: 3.9028, ss_loss: 1.3348, citc_loss: 0.0039, ritc_loss: 0.4568, Base Lr: 9.66e-06
Epoch[1] Iteration[30/321], loss: 5.8458, nitc_loss: 4.0477, ss_loss: 1.3295, citc_loss: 0.0041, ritc_loss: 0.4646, Base Lr: 9.97e-06
Epoch[1] Iteration[31/321], loss: 5.6658, nitc_loss: 3.8945, ss_loss: 1.3016, citc_loss: 0.0042, ritc_loss: 0.4655, Base Lr: 1.03e-05
Epoch[1] Iteration[32/321], loss: 5.6580, nitc_loss: 3.8282, ss_loss: 1.3325, citc_loss: 0.0043, ritc_loss: 0.4930, Base Lr: 1.06e-05
Epoch[1] Iteration[33/321], loss: 5.6059, nitc_loss: 3.8237, ss_loss: 1.3067, citc_loss: 0.0043, ritc_loss: 0.4712, Base Lr: 1.09e-05
