
Epoch[1] Iteration[5/287], loss: 7.4231, nitc_loss: 5.3866, ss_loss: 1.9765, citc_loss: 0.0021, ritc_loss: 0.0579, Base Lr: 2.38e-06
Epoch[1] Iteration[10/287], loss: 7.1343, nitc_loss: 5.2625, ss_loss: 1.7979, citc_loss: 0.0033, ritc_loss: 0.0706, Base Lr: 4.12e-06
Epoch[1] Iteration[15/287], loss: 6.6845, nitc_loss: 4.9506, ss_loss: 1.6255, citc_loss: 0.0055, ritc_loss: 0.1029, Base Lr: 5.85e-06
Epoch[1] Iteration[20/287], loss: 6.6122, nitc_loss: 4.9379, ss_loss: 1.5390, citc_loss: 0.0097, ritc_loss: 0.1256, Base Lr: 7.58e-06
Epoch[1] Iteration[25/287], loss: 6.4194, nitc_loss: 4.8099, ss_loss: 1.4226, citc_loss: 0.0124, ritc_loss: 0.1745, Base Lr: 9.31e-06
Epoch[1] Iteration[30/287], loss: 6.3074, nitc_loss: 4.6821, ss_loss: 1.4067, citc_loss: 0.0152, ritc_loss: 0.2033, Base Lr: 1.10e-05
Epoch[1] Iteration[35/287], loss: 6.0947, nitc_loss: 4.5310, ss_loss: 1.2974, citc_loss: 0.0172, ritc_loss: 0.2491, Base Lr: 1.28e-05
Epoch[1] Iteration[40/287], loss: 6.0721, nitc_loss: 4.5599, ss_loss: 1.2545, citc_loss: 0.0193, ritc_loss: 0.2384, Base Lr: 1.45e-05
Epoch[1] Iteration[45/287], loss: 5.9454, nitc_loss: 4.4834, ss_loss: 1.1885, citc_loss: 0.0214, ritc_loss: 0.2521, Base Lr: 1.62e-05
Epoch[1] Iteration[50/287], loss: 5.9991, nitc_loss: 4.5198, ss_loss: 1.2097, citc_loss: 0.0224, ritc_loss: 0.2473, Base Lr: 1.80e-05
Epoch[1] Iteration[55/287], loss: 5.8586, nitc_loss: 4.4374, ss_loss: 1.1542, citc_loss: 0.0252, ritc_loss: 0.2418, Base Lr: 1.97e-05
Epoch[1] Iteration[60/287], loss: 5.8181, nitc_loss: 4.3862, ss_loss: 1.1182, citc_loss: 0.0268, ritc_loss: 0.2869, Base Lr: 2.14e-05
Epoch[1] Iteration[65/287], loss: 5.5939, nitc_loss: 4.3013, ss_loss: 1.0065, citc_loss: 0.0282, ritc_loss: 0.2579, Base Lr: 2.32e-05
Epoch[1] Iteration[70/287], loss: 5.6136, nitc_loss: 4.3504, ss_loss: 0.9759, citc_loss: 0.0292, ritc_loss: 0.2581, Base Lr: 2.49e-05
Epoch[1] Iteration[75/287], loss: 5.5885, nitc_loss: 4.2462, ss_loss: 1.0186, citc_loss: 0.0310, ritc_loss: 0.2928, Base Lr: 2.66e-05
Epoch[1] Iteration[80/287], loss: 5.6248, nitc_loss: 4.2231, ss_loss: 1.0544, citc_loss: 0.0302, ritc_loss: 0.3171, Base Lr: 2.83e-05
Epoch[1] Iteration[85/287], loss: 5.4961, nitc_loss: 4.2523, ss_loss: 0.9575, citc_loss: 0.0328, ritc_loss: 0.2535, Base Lr: 3.01e-05
Epoch[1] Iteration[90/287], loss: 5.5896, nitc_loss: 4.3850, ss_loss: 0.8918, citc_loss: 0.0323, ritc_loss: 0.2806, Base Lr: 3.18e-05
Epoch[1] Iteration[95/287], loss: 5.4096, nitc_loss: 4.2616, ss_loss: 0.8506, citc_loss: 0.0332, ritc_loss: 0.2643, Base Lr: 3.35e-05
Epoch[1] Iteration[100/287], loss: 5.3936, nitc_loss: 4.2766, ss_loss: 0.8225, citc_loss: 0.0338, ritc_loss: 0.2607, Base Lr: 3.53e-05
Epoch[1] Iteration[105/287], loss: 5.3994, nitc_loss: 4.2555, ss_loss: 0.8163, citc_loss: 0.0349, ritc_loss: 0.2926, Base Lr: 3.70e-05
Epoch[1] Iteration[110/287], loss: 5.2808, nitc_loss: 4.2319, ss_loss: 0.7494, citc_loss: 0.0352, ritc_loss: 0.2643, Base Lr: 3.87e-05
Epoch[1] Iteration[115/287], loss: 5.4196, nitc_loss: 4.2651, ss_loss: 0.8472, citc_loss: 0.0328, ritc_loss: 0.2745, Base Lr: 4.05e-05
Epoch[1] Iteration[120/287], loss: 5.4752, nitc_loss: 4.3723, ss_loss: 0.7909, citc_loss: 0.0358, ritc_loss: 0.2761, Base Lr: 4.22e-05
Epoch[1] Iteration[125/287], loss: 5.3455, nitc_loss: 4.2382, ss_loss: 0.7987, citc_loss: 0.0366, ritc_loss: 0.2721, Base Lr: 4.39e-05
Epoch[1] Iteration[130/287], loss: 5.2307, nitc_loss: 4.3072, ss_loss: 0.6602, citc_loss: 0.0348, ritc_loss: 0.2285, Base Lr: 4.57e-05
Epoch[1] Iteration[135/287], loss: 5.3326, nitc_loss: 4.2564, ss_loss: 0.7996, citc_loss: 0.0335, ritc_loss: 0.2432, Base Lr: 4.74e-05
Epoch[1] Iteration[140/287], loss: 5.3689, nitc_loss: 4.2590, ss_loss: 0.7924, citc_loss: 0.0333, ritc_loss: 0.2841, Base Lr: 4.91e-05
Epoch[1] Iteration[145/287], loss: 5.5372, nitc_loss: 4.4323, ss_loss: 0.8116, citc_loss: 0.0320, ritc_loss: 0.2612, Base Lr: 5.08e-05
Epoch[1] Iteration[150/287], loss: 5.3073, nitc_loss: 4.3321, ss_loss: 0.6710, citc_loss: 0.0312, ritc_loss: 0.2731, Base Lr: 5.26e-05
Epoch[1] Iteration[155/287], loss: 5.3924, nitc_loss: 4.3819, ss_loss: 0.7020, citc_loss: 0.0331, ritc_loss: 0.2754, Base Lr: 5.43e-05
Epoch[1] Iteration[160/287], loss: 5.3638, nitc_loss: 4.3904, ss_loss: 0.6991, citc_loss: 0.0305, ritc_loss: 0.2438, Base Lr: 5.60e-05
Epoch[1] Iteration[165/287], loss: 5.2916, nitc_loss: 4.3189, ss_loss: 0.7232, citc_loss: 0.0336, ritc_loss: 0.2159, Base Lr: 5.78e-05
Epoch[1] Iteration[170/287], loss: 5.2662, nitc_loss: 4.3326, ss_loss: 0.6251, citc_loss: 0.0359, ritc_loss: 0.2726, Base Lr: 5.95e-05
Epoch[1] Iteration[175/287], loss: 5.2832, nitc_loss: 4.3369, ss_loss: 0.6612, citc_loss: 0.0313, ritc_loss: 0.2539, Base Lr: 6.12e-05
Epoch[1] Iteration[180/287], loss: 5.2688, nitc_loss: 4.3882, ss_loss: 0.6196, citc_loss: 0.0349, ritc_loss: 0.2262, Base Lr: 6.30e-05
Epoch[1] Iteration[185/287], loss: 5.4100, nitc_loss: 4.4733, ss_loss: 0.6534, citc_loss: 0.0336, ritc_loss: 0.2498, Base Lr: 6.47e-05
Epoch[1] Iteration[190/287], loss: 5.3898, nitc_loss: 4.4587, ss_loss: 0.6532, citc_loss: 0.0347, ritc_loss: 0.2432, Base Lr: 6.64e-05
Epoch[1] Iteration[195/287], loss: 5.3819, nitc_loss: 4.4250, ss_loss: 0.6636, citc_loss: 0.0368, ritc_loss: 0.2564, Base Lr: 6.82e-05
Epoch[1] Iteration[200/287], loss: 5.4478, nitc_loss: 4.5278, ss_loss: 0.6612, citc_loss: 0.0335, ritc_loss: 0.2253, Base Lr: 6.99e-05
Epoch[1] Iteration[205/287], loss: 5.2681, nitc_loss: 4.4098, ss_loss: 0.5688, citc_loss: 0.0318, ritc_loss: 0.2577, Base Lr: 7.16e-05
Epoch[1] Iteration[210/287], loss: 5.5074, nitc_loss: 4.5237, ss_loss: 0.7194, citc_loss: 0.0330, ritc_loss: 0.2314, Base Lr: 7.33e-05
Epoch[1] Iteration[215/287], loss: 5.4677, nitc_loss: 4.4600, ss_loss: 0.7408, citc_loss: 0.0328, ritc_loss: 0.2342, Base Lr: 7.51e-05
Epoch[1] Iteration[220/287], loss: 5.4667, nitc_loss: 4.5491, ss_loss: 0.6687, citc_loss: 0.0329, ritc_loss: 0.2160, Base Lr: 7.68e-05
Epoch[1] Iteration[225/287], loss: 5.3820, nitc_loss: 4.5823, ss_loss: 0.5272, citc_loss: 0.0309, ritc_loss: 0.2416, Base Lr: 7.85e-05
Epoch[1] Iteration[230/287], loss: 5.5748, nitc_loss: 4.6246, ss_loss: 0.6876, citc_loss: 0.0306, ritc_loss: 0.2320, Base Lr: 8.03e-05
