
Epoch[1] Iteration[5/402], loss: 5.9731, nitc_loss: 4.1235, ss_loss: 1.8456, citc_loss: 0.0006, ritc_loss: 0.0034, Base Lr: 1.20e-06
Epoch[1] Iteration[10/402], loss: 5.9041, nitc_loss: 4.1125, ss_loss: 1.7794, citc_loss: 0.0008, ritc_loss: 0.0114, Base Lr: 1.44e-06
Epoch[1] Iteration[15/402], loss: 5.7878, nitc_loss: 4.0499, ss_loss: 1.7222, citc_loss: 0.0010, ritc_loss: 0.0147, Base Lr: 1.69e-06
Epoch[1] Iteration[20/402], loss: 5.6746, nitc_loss: 4.0067, ss_loss: 1.6405, citc_loss: 0.0013, ritc_loss: 0.0261, Base Lr: 1.94e-06
Epoch[1] Iteration[25/402], loss: 5.5593, nitc_loss: 3.9441, ss_loss: 1.5924, citc_loss: 0.0018, ritc_loss: 0.0210, Base Lr: 2.18e-06
Epoch[1] Iteration[30/402], loss: 5.4314, nitc_loss: 3.8459, ss_loss: 1.5266, citc_loss: 0.0021, ritc_loss: 0.0568, Base Lr: 2.43e-06
Epoch[1] Iteration[35/402], loss: 5.2688, nitc_loss: 3.8270, ss_loss: 1.3857, citc_loss: 0.0025, ritc_loss: 0.0535, Base Lr: 2.68e-06
Epoch[1] Iteration[40/402], loss: 5.1718, nitc_loss: 3.6667, ss_loss: 1.4339, citc_loss: 0.0030, ritc_loss: 0.0682, Base Lr: 2.92e-06
Epoch[1] Iteration[45/402], loss: 5.2128, nitc_loss: 3.7517, ss_loss: 1.3830, citc_loss: 0.0035, ritc_loss: 0.0746, Base Lr: 3.17e-06
Epoch[1] Iteration[50/402], loss: 4.9959, nitc_loss: 3.6358, ss_loss: 1.2794, citc_loss: 0.0041, ritc_loss: 0.0766, Base Lr: 3.41e-06
Epoch[1] Iteration[55/402], loss: 4.9280, nitc_loss: 3.5062, ss_loss: 1.2904, citc_loss: 0.0047, ritc_loss: 0.1267, Base Lr: 3.66e-06
Epoch[1] Iteration[60/402], loss: 4.8756, nitc_loss: 3.5255, ss_loss: 1.2245, citc_loss: 0.0048, ritc_loss: 0.1208, Base Lr: 3.91e-06
Epoch[1] Iteration[65/402], loss: 4.9394, nitc_loss: 3.6584, ss_loss: 1.1454, citc_loss: 0.0057, ritc_loss: 0.1299, Base Lr: 4.15e-06
Epoch[1] Iteration[70/402], loss: 4.9378, nitc_loss: 3.6361, ss_loss: 1.1788, citc_loss: 0.0055, ritc_loss: 0.1174, Base Lr: 4.40e-06
Epoch[1] Iteration[75/402], loss: 4.9412, nitc_loss: 3.5462, ss_loss: 1.2785, citc_loss: 0.0067, ritc_loss: 0.1098, Base Lr: 4.65e-06
Epoch[1] Iteration[80/402], loss: 4.8066, nitc_loss: 3.4779, ss_loss: 1.1605, citc_loss: 0.0067, ritc_loss: 0.1616, Base Lr: 4.89e-06
Epoch[1] Iteration[85/402], loss: 4.7686, nitc_loss: 3.4795, ss_loss: 1.1467, citc_loss: 0.0075, ritc_loss: 0.1349, Base Lr: 5.14e-06
Epoch[1] Iteration[90/402], loss: 4.8504, nitc_loss: 3.5113, ss_loss: 1.1938, citc_loss: 0.0075, ritc_loss: 0.1378, Base Lr: 5.39e-06
Epoch[1] Iteration[95/402], loss: 4.6675, nitc_loss: 3.4840, ss_loss: 1.0224, citc_loss: 0.0077, ritc_loss: 0.1534, Base Lr: 5.63e-06
Epoch[1] Iteration[100/402], loss: 4.6708, nitc_loss: 3.4046, ss_loss: 1.0596, citc_loss: 0.0069, ritc_loss: 0.1997, Base Lr: 5.88e-06
Epoch[1] Iteration[105/402], loss: 4.6375, nitc_loss: 3.4091, ss_loss: 1.0536, citc_loss: 0.0081, ritc_loss: 0.1667, Base Lr: 6.12e-06
Epoch[1] Iteration[110/402], loss: 4.6938, nitc_loss: 3.5226, ss_loss: 1.0183, citc_loss: 0.0090, ritc_loss: 0.1439, Base Lr: 6.37e-06
Epoch[1] Iteration[115/402], loss: 4.5611, nitc_loss: 3.3721, ss_loss: 1.0272, citc_loss: 0.0087, ritc_loss: 0.1531, Base Lr: 6.62e-06
Epoch[1] Iteration[120/402], loss: 4.5194, nitc_loss: 3.3301, ss_loss: 0.9962, citc_loss: 0.0090, ritc_loss: 0.1840, Base Lr: 6.86e-06
Epoch[1] Iteration[125/402], loss: 4.5374, nitc_loss: 3.4050, ss_loss: 0.9533, citc_loss: 0.0094, ritc_loss: 0.1697, Base Lr: 7.11e-06
Epoch[1] Iteration[130/402], loss: 4.5349, nitc_loss: 3.3517, ss_loss: 1.0070, citc_loss: 0.0086, ritc_loss: 0.1676, Base Lr: 7.36e-06
Epoch[1] Iteration[135/402], loss: 4.6872, nitc_loss: 3.5487, ss_loss: 0.9671, citc_loss: 0.0095, ritc_loss: 0.1619, Base Lr: 7.60e-06
Epoch[1] Iteration[140/402], loss: 4.4433, nitc_loss: 3.3308, ss_loss: 0.9540, citc_loss: 0.0093, ritc_loss: 0.1493, Base Lr: 7.85e-06
Epoch[1] Iteration[145/402], loss: 4.4162, nitc_loss: 3.3783, ss_loss: 0.8738, citc_loss: 0.0097, ritc_loss: 0.1544, Base Lr: 8.10e-06
Epoch[1] Iteration[150/402], loss: 4.5224, nitc_loss: 3.4541, ss_loss: 0.8917, citc_loss: 0.0095, ritc_loss: 0.1670, Base Lr: 8.34e-06
Epoch[1] Iteration[155/402], loss: 4.4325, nitc_loss: 3.3988, ss_loss: 0.8866, citc_loss: 0.0103, ritc_loss: 0.1369, Base Lr: 8.59e-06
Epoch[1] Iteration[160/402], loss: 4.5861, nitc_loss: 3.5510, ss_loss: 0.8714, citc_loss: 0.0109, ritc_loss: 0.1527, Base Lr: 8.84e-06
Epoch[1] Iteration[165/402], loss: 4.3393, nitc_loss: 3.3295, ss_loss: 0.8352, citc_loss: 0.0102, ritc_loss: 0.1644, Base Lr: 9.08e-06
Epoch[1] Iteration[170/402], loss: 4.3040, nitc_loss: 3.3155, ss_loss: 0.7900, citc_loss: 0.0101, ritc_loss: 0.1884, Base Lr: 9.33e-06
Epoch[1] Iteration[175/402], loss: 4.4406, nitc_loss: 3.3970, ss_loss: 0.8711, citc_loss: 0.0110, ritc_loss: 0.1614, Base Lr: 9.57e-06
Epoch[1] Iteration[180/402], loss: 4.3732, nitc_loss: 3.3932, ss_loss: 0.7728, citc_loss: 0.0107, ritc_loss: 0.1965, Base Lr: 9.82e-06
Epoch[1] Iteration[185/402], loss: 4.4047, nitc_loss: 3.4611, ss_loss: 0.7889, citc_loss: 0.0104, ritc_loss: 0.1443, Base Lr: 1.01e-05
Epoch[1] Iteration[190/402], loss: 4.3615, nitc_loss: 3.4928, ss_loss: 0.6903, citc_loss: 0.0105, ritc_loss: 0.1678, Base Lr: 1.03e-05
Epoch[1] Iteration[195/402], loss: 4.2066, nitc_loss: 3.2720, ss_loss: 0.7765, citc_loss: 0.0105, ritc_loss: 0.1475, Base Lr: 1.06e-05
Epoch[1] Iteration[200/402], loss: 4.3869, nitc_loss: 3.3470, ss_loss: 0.8476, citc_loss: 0.0108, ritc_loss: 0.1816, Base Lr: 1.08e-05
