Epoch[1] Iteration[1/643], loss: 5.6057, nitc_loss: 3.7110, ss_loss: 1.6744, citc_loss: 0.0009, ritc_loss: 0.2194, Base Lr: 1.00e-06
Epoch[1] Iteration[2/643], loss: 5.5840, nitc_loss: 3.6822, ss_loss: 1.6836, citc_loss: 0.0007, ritc_loss: 0.2175, Base Lr: 1.08e-06
Epoch[1] Iteration[3/643], loss: 5.6013, nitc_loss: 3.6990, ss_loss: 1.6807, citc_loss: 0.0010, ritc_loss: 0.2206, Base Lr: 1.15e-06
Epoch[1] Iteration[4/643], loss: 5.5359, nitc_loss: 3.6630, ss_loss: 1.6543, citc_loss: 0.0007, ritc_loss: 0.2178, Base Lr: 1.23e-06
Epoch[1] Iteration[5/643], loss: 5.5768, nitc_loss: 3.6856, ss_loss: 1.6637, citc_loss: 0.0010, ritc_loss: 0.2265, Base Lr: 1.31e-06
Epoch[1] Iteration[6/643], loss: 5.5108, nitc_loss: 3.6772, ss_loss: 1.6130, citc_loss: 0.0010, ritc_loss: 0.2196, Base Lr: 1.39e-06
Epoch[1] Iteration[7/643], loss: 5.5351, nitc_loss: 3.6841, ss_loss: 1.6322, citc_loss: 0.0009, ritc_loss: 0.2179, Base Lr: 1.46e-06
Epoch[1] Iteration[8/643], loss: 5.4660, nitc_loss: 3.5785, ss_loss: 1.6733, citc_loss: 0.0012, ritc_loss: 0.2130, Base Lr: 1.54e-06
Epoch[1] Iteration[9/643], loss: 5.4703, nitc_loss: 3.6536, ss_loss: 1.6017, citc_loss: 0.0011, ritc_loss: 0.2139, Base Lr: 1.62e-06
Epoch[1] Iteration[10/643], loss: 5.5133, nitc_loss: 3.6501, ss_loss: 1.6438, citc_loss: 0.0010, ritc_loss: 0.2183, Base Lr: 1.69e-06
Epoch[1] Iteration[11/643], loss: 5.3860, nitc_loss: 3.5925, ss_loss: 1.5712, citc_loss: 0.0008, ritc_loss: 0.2215, Base Lr: 1.77e-06
Epoch[1] Iteration[12/643], loss: 5.4051, nitc_loss: 3.6029, ss_loss: 1.5844, citc_loss: 0.0010, ritc_loss: 0.2168, Base Lr: 1.85e-06
Epoch[1] Iteration[13/643], loss: 5.3899, nitc_loss: 3.6066, ss_loss: 1.5541, citc_loss: 0.0011, ritc_loss: 0.2281, Base Lr: 1.92e-06
Epoch[1] Iteration[14/643], loss: 5.3297, nitc_loss: 3.5552, ss_loss: 1.5593, citc_loss: 0.0012, ritc_loss: 0.2140, Base Lr: 2.00e-06
Epoch[1] Iteration[15/643], loss: 5.2870, nitc_loss: 3.5760, ss_loss: 1.4879, citc_loss: 0.0014, ritc_loss: 0.2217, Base Lr: 2.08e-06
Epoch[1] Iteration[16/643], loss: 5.2931, nitc_loss: 3.5754, ss_loss: 1.4941, citc_loss: 0.0015, ritc_loss: 0.2221, Base Lr: 2.16e-06
Epoch[1] Iteration[17/643], loss: 5.2998, nitc_loss: 3.5548, ss_loss: 1.5172, citc_loss: 0.0016, ritc_loss: 0.2262, Base Lr: 2.23e-06
Epoch[1] Iteration[18/643], loss: 5.3001, nitc_loss: 3.5880, ss_loss: 1.4876, citc_loss: 0.0019, ritc_loss: 0.2226, Base Lr: 2.31e-06
Epoch[1] Iteration[19/643], loss: 5.1988, nitc_loss: 3.5168, ss_loss: 1.4580, citc_loss: 0.0018, ritc_loss: 0.2222, Base Lr: 2.39e-06
Epoch[1] Iteration[20/643], loss: 5.1682, nitc_loss: 3.5009, ss_loss: 1.4418, citc_loss: 0.0016, ritc_loss: 0.2239, Base Lr: 2.46e-06
Epoch[1] Iteration[21/643], loss: 5.1662, nitc_loss: 3.5242, ss_loss: 1.4196, citc_loss: 0.0024, ritc_loss: 0.2199, Base Lr: 2.54e-06
Epoch[1] Iteration[22/643], loss: 5.1507, nitc_loss: 3.4896, ss_loss: 1.4326, citc_loss: 0.0018, ritc_loss: 0.2267, Base Lr: 2.62e-06
Epoch[1] Iteration[23/643], loss: 5.1610, nitc_loss: 3.4998, ss_loss: 1.4334, citc_loss: 0.0022, ritc_loss: 0.2256, Base Lr: 2.69e-06
Epoch[1] Iteration[24/643], loss: 5.0730, nitc_loss: 3.5125, ss_loss: 1.3249, citc_loss: 0.0030, ritc_loss: 0.2326, Base Lr: 2.77e-06
Epoch[1] Iteration[25/643], loss: 4.9638, nitc_loss: 3.4662, ss_loss: 1.2611, citc_loss: 0.0029, ritc_loss: 0.2336, Base Lr: 2.85e-06
Epoch[1] Iteration[26/643], loss: 5.0767, nitc_loss: 3.4732, ss_loss: 1.3693, citc_loss: 0.0030, ritc_loss: 0.2313, Base Lr: 2.93e-06
Epoch[1] Iteration[27/643], loss: 5.0625, nitc_loss: 3.4878, ss_loss: 1.3396, citc_loss: 0.0030, ritc_loss: 0.2321, Base Lr: 3.00e-06
Epoch[1] Iteration[28/643], loss: 4.9295, nitc_loss: 3.4125, ss_loss: 1.2783, citc_loss: 0.0028, ritc_loss: 0.2360, Base Lr: 3.08e-06
Epoch[1] Iteration[29/643], loss: 5.0119, nitc_loss: 3.4014, ss_loss: 1.3554, citc_loss: 0.0036, ritc_loss: 0.2515, Base Lr: 3.16e-06
Epoch[1] Iteration[30/643], loss: 4.9758, nitc_loss: 3.3999, ss_loss: 1.3378, citc_loss: 0.0036, ritc_loss: 0.2346, Base Lr: 3.23e-06
Epoch[1] Iteration[31/643], loss: 4.8885, nitc_loss: 3.3932, ss_loss: 1.2431, citc_loss: 0.0036, ritc_loss: 0.2486, Base Lr: 3.31e-06
Epoch[1] Iteration[32/643], loss: 5.0496, nitc_loss: 3.5019, ss_loss: 1.2922, citc_loss: 0.0042, ritc_loss: 0.2512, Base Lr: 3.39e-06
Epoch[1] Iteration[33/643], loss: 4.9758, nitc_loss: 3.4194, ss_loss: 1.3090, citc_loss: 0.0038, ritc_loss: 0.2436, Base Lr: 3.47e-06
Epoch[1] Iteration[34/643], loss: 4.9597, nitc_loss: 3.3769, ss_loss: 1.3433, citc_loss: 0.0045, ritc_loss: 0.2350, Base Lr: 3.54e-06
Epoch[1] Iteration[35/643], loss: 4.9904, nitc_loss: 3.3998, ss_loss: 1.3442, citc_loss: 0.0046, ritc_loss: 0.2418, Base Lr: 3.62e-06
Epoch[1] Iteration[36/643], loss: 4.8112, nitc_loss: 3.3477, ss_loss: 1.2027, citc_loss: 0.0050, ritc_loss: 0.2558, Base Lr: 3.70e-06
